wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),bugs
3,1,0,1,5,0,1,0,3,0,45,1,0,0,0.6666667,0,0,13.333333,2,1,0
5,4,0,1,9,10,1,0,3,0.75,81,1,0,0.9245283,0.44,2,2,15,5,2,0
3,1,0,1,7,0,1,0,3,0,58,1,0,0,0.6666667,0,0,17.666666,4,1.6666666,0
1,1,0,1,13,0,1,0,0,2,115,0,0,0,1,0,0,100,0,0,0
2,1,0,6,2,1,4,2,2,2,2,0,0,0,1,0,0,0,1,1,0
2,4,0,2,4,1,0,2,1,2,20,0,0,0.9714286,0.75,1,1,9,3,1.5,0
2,3,0,7,17,1,1,6,1,2,108,0,0,0.98717946,0.625,1,3,53,8,4,0
1,1,0,4,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,0
4,1,0,2,6,0,0,2,4,0.33333334,19,1,0,0,0.625,0,0,3.5,1,0.75,0
2,4,0,2,4,1,0,2,1,2,20,0,0,0.9714286,0.75,1,1,9,3,1.5,0
4,5,0,5,19,6,0,5,4,2,57,0,0,0.97849464,0.625,2,4,13.25,2,1,0
13,1,0,7,28,20,2,5,12,0.8095238,183,1,2,0,0.3,0,0,12.538462,7,1.3846154,0
2,4,0,2,4,1,0,2,1,2,12,0,0,0.9714286,0.75,1,1,5,1,0.5,0
1,1,0,4,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,0
4,1,1,2,7,4,2,0,3,0.6666667,502,0.5,0,0,0.5555556,0,0,124,4,1.25,0
5,4,0,10,27,2,0,10,3,0.625,146,1,1,0.9130435,0.36,2,5,27.8,5,2,0
6,4,0,7,27,0,2,5,4,0,169,1,0,0.8717949,0.30555555,3,7,27,6,3.1666667,0
6,1,0,3,11,0,0,3,6,0.5,56,1,0,0,0.375,0,0,8,3,1.1666666,0
2,4,0,2,5,1,0,2,1,2,11,0,0,0.9714286,0.75,1,1,4.5,1,0.5,0
5,1,0,3,6,6,3,0,5,0.75,24,1,0,0,0.7,0,0,3.4,1,0.8,0
1,1,0,4,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,0
6,1,0,3,10,0,0,3,6,0.4,52,1,1,0,0.375,0,0,7.3333335,2,1,0
9,1,0,7,21,16,0,7,9,0.85,123,1,1,0,0.31111112,0,0,12.111111,7,1.6666666,0
2,1,0,6,4,1,4,2,2,2,8,0,0,0,0.75,0,0,3,1,0.5,0
8,2,1,4,18,2,1,3,7,0.6904762,194,1,0,0.5625,0.35,0,0,22.5,4,1.5,0
16,1,0,13,31,76,5,8,13,0.7916667,165,1,2,0,0.1953125,0,0,8.8125,4,1.3125,0
3,2,1,4,5,3,1,3,3,2,11,0,0,0.8181818,0.6666667,0,0,2.6666667,1,0.6666667,0
4,1,0,5,7,4,3,2,4,0.33333334,35,1,1,0,0.5833333,0,0,7.5,2,1,0
2,4,0,3,4,1,1,2,1,2,12,0,0,0.9714286,0.75,1,1,5,1,0.5,1
1,1,0,4,1,0,2,2,1,2,1,0,0,0,1,0,0,0,1,1,0
6,2,0,4,34,11,0,4,5,0.6,236,0.33333334,1,0.82758623,0.6666667,1,2,37.833332,6,1.6666666,1
5,1,0,6,10,0,2,4,4,0.9,74,0.6,3,0,0.5833333,0,0,12.8,5,1.2,0
27,3,2,25,41,321,2,23,27,0,191,1,0,0.53571427,0.08465608,0,0,6.037037,4,1.1851852,1
5,2,2,9,10,6,7,2,4,0.9,185,0.4,6,0.8,0.5,1,1,34,5,1.2,0
5,2,2,3,8,8,2,1,3,0.9583333,101,0.16666667,5,0.8,0.625,1,1,18,1,0.4,0
3,4,0,3,9,3,0,3,3,2,33,0,0,0.9722222,0.5555556,0,0,10,4,1.3333334,0
3,1,0,6,17,0,1,5,2,1.1428572,156,1,1,0,0.5833333,0,0,46.333332,9,4.3333335,0
1,1,0,5,1,0,4,2,1,2,1,0,0,0,1,0,0,0,1,1,0
2,4,0,2,4,1,2,0,2,2,9,0,0,1,0.75,0,0,3.5,0,0,0
4,4,0,3,11,0,0,3,4,0,84,1,0,0.9459459,0.4375,0,0,19.75,12,3.25,0
3,1,0,11,28,3,1,10,2,1.5,111,0,0,0,0.8333333,0,0,35.666668,7,2.6666667,0
1,1,0,26,1,0,25,1,1,2,1,0,0,0,1,0,0,0,1,1,0
3,4,0,3,19,3,0,3,1,2,83,0,0,0.95652175,0.6666667,1,1,26.666666,4,2,0
1,1,0,2,1,0,2,0,1,2,1,0,0,0,1,0,0,0,1,1,0
1,2,0,1,3,0,0,1,1,2,7,0,0,1,1,0,0,6,0,0,0
3,4,0,5,11,1,1,4,1,0.5,41,1,1,0.9714286,0.75,1,2,12.333333,3,1,1
