wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
8,1,0,6,14,26,2,0,7,1.0,39,1.0,2,0.0,0.39285714299999996,0,0,3.5,1,0.75,0
2,4,0,4,5,1,1,0,2,2.0,36,0.0,0,0.975609756,0.666666667,1,1,17.0,1,0.5,0
56,1,0,49,89,1310,40,0,56,0.9564738290000001,583,1.0,24,0.0,0.1375,0,0,8.821428571,5,1.1964,0
4,5,1,0,8,6,0,0,4,2.0,20,0.0,0,1.0,0.666666667,0,0,4.0,0,0.0,0
3,2,0,3,8,3,3,0,3,1.5,73,0.0,0,0.9375,0.833333333,0,0,22.0,3,1.0,0
16,1,2,38,91,58,23,0,13,0.7777777779999999,717,0.8888888890000001,7,0.0,0.28,0,0,43.25,15,1.9375,1
3,1,0,0,3,3,0,0,3,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
10,3,0,3,24,3,1,0,10,0.481481481,114,1.0,0,0.428571429,0.21111111100000002,1,1,10.1,3,1.0,0
3,2,0,2,7,3,2,0,3,1.5,30,0.0,0,0.9375,0.833333333,0,0,8.666666667000001,3,1.0,0
3,2,0,5,8,3,0,0,2,1.0,27,1.0,0,0.976190476,1.0,0,0,7.666666667,1,0.3333,0
11,2,0,1,25,35,0,0,11,0.65,283,1.0,0,0.41176470600000004,0.318181818,0,0,24.36363636,2,1.1818,0
4,2,0,12,22,2,1,0,4,0.583333333,1700,1.0,3,0.5,0.5,1,1,423.0,1,0.5,2
6,5,0,1,7,15,1,0,6,2.0,14,0.0,0,0.864864865,0.45833333299999995,1,1,1.333333333,1,0.8333,0
0,1,0,0,0,0,0,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
6,3,0,8,33,3,1,0,1,0.4,177,1.0,0,0.8275862070000001,0.4,1,6,28.33333333,1,0.8333,0
3,2,0,6,9,1,2,0,3,0.0,35,1.0,0,0.666666667,0.5555555560000001,1,1,10.33333333,1,0.3333,0
14,1,0,3,15,91,3,0,14,2.0,17,0.0,0,0.0,0.28571428600000004,0,0,0.214285714,1,0.9286,0
2,1,1,0,3,1,0,0,2,2.0,5,0.0,0,0.0,1.0,0,0,1.5,1,0.5,0
22,2,0,20,145,127,0,0,15,0.867346939,1226,0.857142857,1,0.545454545,0.30612244899999996,2,2,54.09090909,10,2.3182,0
51,1,0,40,207,999,4,0,38,0.907222222,2594,1.0,9,0.0,0.092,0,0,49.15686275,41,4.1373,4
1,1,0,0,2,0,0,0,1,2.0,10,0.0,0,0.0,1.0,0,0,3.0,0,0.0,0
2,4,0,4,6,1,1,0,2,2.0,33,0.0,0,0.975609756,0.666666667,1,1,15.5,1,0.5,0
33,2,0,9,93,378,0,0,26,0.9008620690000001,995,1.0,2,0.39215686299999997,0.1875,0,0,28.27272727,6,1.4848,0
6,1,0,4,12,3,3,0,6,0.2,40,1.0,0,0.0,0.583333333,0,0,5.5,1,0.8333,0
8,1,0,2,31,12,1,0,8,0.457142857,259,1.0,0,0.0,0.325,0,0,30.75,5,1.5,0
37,3,0,8,97,508,2,0,21,0.8954248370000001,981,1.0,3,0.619565217,0.242063492,2,3,25.05405405,11,2.7568,0
8,1,1,11,21,10,5,0,4,0.734693878,108,0.7142857140000001,2,0.0,0.428571429,0,0,11.625,2,0.75,1
4,1,0,0,5,0,0,0,4,0.666666667,28,1.0,1,0.0,0.5,0,0,5.25,1,0.75,0
2,2,0,5,8,0,1,0,2,0.0,32,0.0,0,0.916666667,0.625,0,0,14.5,1,0.5,0
2,1,1,0,3,1,0,0,2,2.0,5,0.0,0,0.0,1.0,0,0,1.5,1,0.5,0
0,1,0,3,0,0,3,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
9,1,0,19,46,8,3,0,5,0.4375,350,1.0,3,0.0,0.3125,0,0,37.44444444,1,0.7778,0
2,5,0,2,5,1,0,0,2,2.0,11,0.0,0,0.985507246,1.0,1,1,4.5,1,0.5,0
1,1,0,0,2,0,0,0,1,2.0,9,0.0,0,0.0,1.0,0,0,3.0,0,0.0,1
7,1,0,9,36,0,1,0,5,0.41666666700000005,181,0.5,0,0.0,0.444444444,0,0,24.57142857,1,0.7143,0
6,1,0,2,7,7,2,0,6,0.7,29,0.0,0,0.0,0.75,0,0,3.5,1,0.8333,0
11,1,0,2,23,15,1,0,11,0.7,167,0.0,1,0.0,0.318181818,0,0,13.72727273,2,1.0,0
10,1,0,4,11,45,3,0,10,1.111111111,24,0.0,0,0.0,0.34,0,0,0.3,1,0.9,0
42,2,0,26,98,683,10,0,41,0.948350072,962,1.0,0,0.633027523,0.25203252,2,7,21.5,10,1.5476,0
3,2,0,2,4,0,2,0,3,0.0,31,1.0,0,0.894736842,0.444444444,0,0,9.0,2,1.0,0
10,1,0,79,37,39,76,0,7,0.592592593,296,1.0,0,0.0,0.611111111,0,0,28.3,5,1.5,0
