testfile,Naive_CPDP_NB,Zscore_CPDP_NB,Zscore_SMOTE_CPDP_NB,Zscore_SMOTE_iFF_CPDP_NB,Zscore_WiFF_CPDP_NB,Zscore_WiFFplusL_CPDP_NB
ant-1.7.csv,0.319277108,0.319277108,0.415662651,0.578313253,0.560240964,0.885542169
ant-1.7.csv,0.295180723,0.295180723,0.391566265,0.740963855,0.560240964,0.831325301
ant-1.7.csv,0.295180723,0.295180723,0.391566265,0.626506024,0.512048193,0.879518072
ant-1.7.csv,0.295180723,0.295180723,0.409638554,0.397590361,0.427710843,0.885542169
ant-1.7.csv,0.289156627,0.289156627,0.379518072,0.530120482,0.403614458,0.861445783
ant-1.7.csv,0.301204819,0.301204819,0.403614458,0.536144578,0.36746988,0.885542169
ant-1.7.csv,0.307228916,0.307228916,0.451807229,0.644578313,0.524096386,0.843373494
ant-1.7.csv,0.289156627,0.289156627,0.403614458,0.63253012,0.554216867,0.879518072
ant-1.7.csv,0.289156627,0.289156627,0.421686747,0.674698795,0.524096386,0.879518072
ant-1.7.csv,0.289156627,0.289156627,0.36746988,0.487951807,0.481927711,0.873493976
ant-1.7.csv,0.289156627,0.289156627,0.391566265,0.626506024,0.626506024,0.873493976
ant-1.7.csv,0.28313253,0.28313253,0.385542169,0.620481928,0.542168675,0.885542169
ant-1.7.csv,0.289156627,0.289156627,0.385542169,0.680722892,0.524096386,0.861445783
ant-1.7.csv,0.319277108,0.319277108,0.415662651,0.493975904,0.554216867,0.861445783
ant-1.7.csv,0.277108434,0.277108434,0.36746988,0.548192771,0.524096386,0.891566265
ant-1.7.csv,0.295180723,0.295180723,0.451807229,0.668674699,0.620481928,0.855421687
ant-1.7.csv,0.295180723,0.295180723,0.409638554,0.536144578,0.590361446,0.86746988
ant-1.7.csv,0.289156627,0.289156627,0.391566265,0.608433735,0.608433735,0.897590361
ant-1.7.csv,0.28313253,0.28313253,0.385542169,0.554216867,0.554216867,0.86746988
ant-1.7.csv,0.301204819,0.301204819,0.421686747,0.542168675,0.536144578,0.873493976
ant-1.7.csv,0.289156627,0.289156627,0.391566265,0.590361446,0.584337349,0.86746988
ant-1.7.csv,0.289156627,0.295180723,0.409638554,0.560240964,0.518072289,0.86746988
ant-1.7.csv,0.277108434,0.277108434,0.391566265,0.578313253,0.469879518,0.873493976
ant-1.7.csv,0.313253012,0.313253012,0.403614458,0.56626506,0.596385542,0.873493976
ant-1.7.csv,0.295180723,0.301204819,0.379518072,0.524096386,0.686746988,0.855421687
ant-1.7.csv,0.289156627,0.289156627,0.373493976,0.548192771,0.530120482,0.86746988
ant-1.7.csv,0.289156627,0.289156627,0.43373494,0.71686747,0.56626506,0.837349398
ant-1.7.csv,0.313253012,0.313253012,0.415662651,0.56626506,0.638554217,0.86746988
ant-1.7.csv,0.301204819,0.301204819,0.385542169,0.5,0.463855422,0.885542169
ant-1.7.csv,0.319277108,0.319277108,0.445783133,0.512048193,0.56626506,0.873493976
arc-1.csv,0.185185185,0.185185185,0.259259259,0.592592593,0.481481481,0.592592593
arc-1.csv,0.222222222,0.222222222,0.407407407,0.62962963,0.555555556,0.592592593
arc-1.csv,0.185185185,0.185185185,0.37037037,0.555555556,0.444444444,0.62962963
arc-1.csv,0.222222222,0.222222222,0.407407407,0.592592593,0.444444444,0.62962963
arc-1.csv,0.185185185,0.185185185,0.259259259,0.666666667,0.592592593,0.62962963
arc-1.csv,0.222222222,0.222222222,0.407407407,0.62962963,0.518518519,0.592592593
arc-1.csv,0.185185185,0.185185185,0.259259259,0.592592593,0.555555556,0.592592593
arc-1.csv,0.185185185,0.185185185,0.222222222,0.518518519,0.407407407,0.62962963
arc-1.csv,0.185185185,0.185185185,0.259259259,0.592592593,0.592592593,0.592592593
arc-1.csv,0.185185185,0.185185185,0.37037037,0.518518519,0.555555556,0.62962963
arc-1.csv,0.185185185,0.185185185,0.222222222,0.592592593,0.555555556,0.62962963
arc-1.csv,0.185185185,0.185185185,0.259259259,0.518518519,0.62962963,0.62962963
arc-1.csv,0.222222222,0.222222222,0.333333333,0.62962963,0.555555556,0.62962963
arc-1.csv,0.222222222,0.222222222,0.407407407,0.592592593,0.481481481,0.62962963
arc-1.csv,0.222222222,0.222222222,0.259259259,0.62962963,0.592592593,0.62962963
arc-1.csv,0.185185185,0.185185185,0.259259259,0.592592593,0.592592593,0.62962963
