testfile,Naive_CPDP_LR,Zscore_CPDP_LR,Zscore_SMOTE_CPDP_LR,Zscore_SMOTE_iFF_CPDP_LR,Zscore_WiFF_CPDP_LR,Zscore_WiFFplusL_CPDP_LR
ant-1.7.csv,0.010362694,0.010362694,0.212435233,0.433506045,0.369602763,0.556131261
ant-1.7.csv,0.008635579,0.008635579,0.224525043,0.321243523,0.276338515,0.466321244
ant-1.7.csv,0.01208981,0.01208981,0.227979275,0.303972366,0.281519862,0.571675302
ant-1.7.csv,0.008635579,0.008635579,0.207253886,0.378238342,0.303972366,0.563039724
ant-1.7.csv,0.010362694,0.010362694,0.195164076,0.398963731,0.269430052,0.575129534
ant-1.7.csv,0.010362694,0.010362694,0.198618307,0.367875648,0.317789292,0.568221071
ant-1.7.csv,0.008635579,0.008635579,0.208981002,0.383419689,0.284974093,0.516407599
ant-1.7.csv,0.010362694,0.010362694,0.215889465,0.360967185,0.381692573,0.528497409
ant-1.7.csv,0.010362694,0.010362694,0.212435233,0.33851468,0.259067358,0.544041451
ant-1.7.csv,0.010362694,0.010362694,0.212435233,0.400690846,0.393782383,0.537132988
ant-1.7.csv,0.008635579,0.008635579,0.210708117,0.310880829,0.341968912,0.512953368
ant-1.7.csv,0.01208981,0.01208981,0.18134715,0.32642487,0.307426598,0.592400691
ant-1.7.csv,0.01208981,0.01208981,0.19343696,0.32642487,0.392055268,0.563039724
ant-1.7.csv,0.010362694,0.010362694,0.227979275,0.455958549,0.423143351,0.580310881
ant-1.7.csv,0.008635579,0.008635579,0.176165803,0.367875648,0.378238342,0.528497409
ant-1.7.csv,0.010362694,0.010362694,0.226252159,0.341968912,0.362694301,0.549222798
ant-1.7.csv,0.013816926,0.01208981,0.207253886,0.400690846,0.352331606,0.578583765
ant-1.7.csv,0.008635579,0.008635579,0.236614853,0.335060449,0.359240069,0.528497409
ant-1.7.csv,0.010362694,0.010362694,0.210708117,0.319516408,0.310880829,0.545768566
ant-1.7.csv,0.010362694,0.010362694,0.212435233,0.238341969,0.22970639,0.533678756
ant-1.7.csv,0.010362694,0.010362694,0.234887737,0.381692573,0.371329879,0.544041451
ant-1.7.csv,0.008635579,0.008635579,0.212435233,0.366148532,0.283246978,0.537132988
ant-1.7.csv,0.008635579,0.008635579,0.231433506,0.335060449,0.345423143,0.526770294
ant-1.7.csv,0.01208981,0.01208981,0.236614853,0.357512953,0.305699482,0.582037997
ant-1.7.csv,0.008635579,0.008635579,0.214162349,0.371329879,0.373056995,0.537132988
ant-1.7.csv,0.010362694,0.010362694,0.208981002,0.378238342,0.309153713,0.630397237
ant-1.7.csv,0.010362694,0.010362694,0.210708117,0.367875648,0.322970639,0.556131261
ant-1.7.csv,0.008635579,0.008635579,0.203799655,0.424870466,0.30224525,0.556131261
ant-1.7.csv,0.008635579,0.008635579,0.227979275,0.324697755,0.345423143,0.644214162
ant-1.7.csv,0.008635579,0.008635579,0.212435233,0.452504318,0.286701209,0.564766839
arc-1.csv,0.024154589,0.024154589,0.125603865,0.164251208,0.178743961,0.323671498
arc-1.csv,0.014492754,0.014492754,0.140096618,0.183574879,0.207729469,0.333333333
arc-1.csv,0.024154589,0.024154589,0.111111111,0.178743961,0.173913043,0.323671498
arc-1.csv,0.024154589,0.024154589,0.140096618,0.183574879,0.202898551,0.338164251
arc-1.csv,0.019323671,0.019323671,0.1352657,0.173913043,0.256038647,0.333333333
arc-1.csv,0.024154589,0.024154589,0.111111111,0.178743961,0.173913043,0.357487923
arc-1.csv,0.024154589,0.024154589,0.149758454,0.207729469,0.178743961,0.352657005
arc-1.csv,0.009661836,0.009661836,0.125603865,0.169082126,0.183574879,0.342995169
arc-1.csv,0.014492754,0.019323671,0.149758454,0.193236715,0.202898551,0.357487923
arc-1.csv,0.024154589,0.024154589,0.140096618,0.188405797,0.212560386,0.347826087
arc-1.csv,0.009661836,0.009661836,0.125603865,0.169082126,0.198067633,0.342995169
arc-1.csv,0.024154589,0.024154589,0.144927536,0.183574879,0.231884058,0.362318841
arc-1.csv,0.024154589,0.024154589,0.125603865,0.241545894,0.217391304,0.352657005
arc-1.csv,0.024154589,0.024154589,0.15942029,0.188405797,0.22705314,0.357487923
arc-1.csv,0.024154589,0.024154589,0.144927536,0.193236715,0.217391304,0.338164251
arc-1.csv,0.024154589,0.024154589,0.140096618,0.265700483,0.212560386,0.333333333
arc-1.csv,0.009661836,0.014492754,0.140096618,0.183574879,0.169082126,0.357487923
arc-1.csv,0.024154589,0.024154589,0.149758454,0.246376812,0.251207729,0.371980676
arc-1.csv,0.024154589,0.024154589,0.1352657,0.178743961,0.154589372,0.347826087
arc-1.csv,0.024154589,0.024154589,0.144927536,0.178743961,0.154589372,0.338164251
arc-1.csv,0.024154589,0.024154589,0.140096618,0.188405797,0.198067633,0.357487923
arc-1.csv,0.024154589,0.024154589,0.1352657,0.178743961,0.183574879,0.347826087
arc-1.csv,0.014492754,0.014492754,0.144927536,0.178743961,0.188405797,0.333333333
arc-1.csv,0.024154589,0.024154589,0.130434783,0.144927536,0.183574879,0.328502415
arc-1.csv,0.024154589,0.024154589,0.144927536,0.178743961,0.217391304,0.328502415
arc-1.csv,0.024154589,0.024154589,0.130434783,0.188405797,0.202898551,0.381642512
arc-1.csv,0.024154589,0.024154589,0.154589372,0.188405797,0.202898551,0.333333333
arc-1.csv,0.024154589,0.024154589,0.149758454,0.202898551,0.202898551,0.347826087
arc-1.csv,0.024154589,0.024154589,0.130434783,0.169082126,0.173913043,0.352657005
arc-1.csv,0.009661836,0.009661836,0.154589372,0.193236715,0.178743961,0.333333333
camel-1.6.csv,0.028314028,0.028314028,0.267696268,0.298584299,0.280566281,0.451737452
camel-1.6.csv,0.027027027,0.027027027,0.281853282,0.279279279,0.265122265,0.42985843
camel-1.6.csv,0.028314028,0.028314028,0.265122265,0.27027027,0.308880309,0.435006435
camel-1.6.csv,0.028314028,0.028314028,0.258687259,0.232947233,0.243243243,0.388674389
camel-1.6.csv,0.027027027,0.027027027,0.297297297,0.284427284,0.290862291,0.446589447
camel-1.6.csv,0.028314028,0.02960103,0.285714286,0.31016731,0.268983269,0.424710425
camel-1.6.csv,0.028314028,0.027027027,0.311454311,0.287001287,0.294723295,0.460746461
camel-1.6.csv,0.027027027,0.027027027,0.276705277,0.329472329,0.283140283,0.44015444
camel-1.6.csv,0.028314028,0.02960103,0.2998713,0.307593308,0.277992278,0.446589447
camel-1.6.csv,0.025740026,0.025740026,0.296010296,0.329472329,0.262548263,0.438867439
camel-1.6.csv,0.027027027,0.027027027,0.27027027,0.296010296,0.306306306,0.427284427
camel-1.6.csv,0.030888031,0.030888031,0.277992278,0.280566281,0.283140283,0.406692407
camel-1.6.csv,0.02960103,0.02960103,0.294723295,0.307593308,0.267696268,0.396396396
camel-1.6.csv,0.032175032,0.032175032,0.298584299,0.283140283,0.324324324,0.454311454
camel-1.6.csv,0.027027027,0.027027027,0.272844273,0.31016731,0.284427284,0.432432432
camel-1.6.csv,0.025740026,0.025740026,0.283140283,0.332046332,0.283140283,0.436293436
camel-1.6.csv,0.030888031,0.032175032,0.268983269,0.338481338,0.301158301,0.427284427
camel-1.6.csv,0.032175032,0.032175032,0.283140283,0.317889318,0.330759331,0.414414414
camel-1.6.csv,0.032175032,0.032175032,0.274131274,0.285714286,0.272844273,0.44015444
camel-1.6.csv,0.02960103,0.02960103,0.302445302,0.303732304,0.277992278,0.388674389
camel-1.6.csv,0.02960103,0.02960103,0.293436293,0.306306306,0.31016731,0.41956242
camel-1.6.csv,0.028314028,0.028314028,0.301158301,0.316602317,0.277992278,0.455598456
camel-1.6.csv,0.027027027,0.028314028,0.292149292,0.321750322,0.288288288,0.45045045
camel-1.6.csv,0.028314028,0.027027027,0.272844273,0.271557272,0.297297297,0.398970399
camel-1.6.csv,0.032175032,0.032175032,0.268983269,0.296010296,0.276705277,0.409266409
camel-1.6.csv,0.027027027,0.027027027,0.307593308,0.298584299,0.240669241,0.41956242
camel-1.6.csv,0.027027027,0.027027027,0.274131274,0.281853282,0.290862291,0.441441441
camel-1.6.csv,0.032175032,0.032175032,0.288288288,0.301158301,0.279279279,0.436293436
camel-1.6.csv,0.028314028,0.028314028,0.297297297,0.294723295,0.258687259,0.414414414
camel-1.6.csv,0.02960103,0.02960103,0.290862291,0.292149292,0.27027027,0.395109395
ivy-2.0.csv,0.032051282,0.032051282,0.221153846,0.259615385,0.221153846,0.432692308
ivy-2.0.csv,0.032051282,0.032051282,0.198717949,0.240384615,0.233974359,0.407051282
ivy-2.0.csv,0.032051282,0.032051282,0.221153846,0.253205128,0.262820513,0.487179487
