testfile,Naive_CPDP_RF,Zscore_CPDP_RF,Zscore_SMOTE_CPDP_RF,Zscore_SMOTE_iFF_CPDP_RF,Zscore_WiFFplusL_CPDP_RF,Zscore_WiFF_CPDP_RF
ant-1.7.csv,0.043177893,0.041450777,0.139896373,0.094991364,0.355785838,0.075993092
ant-1.7.csv,0.041450777,0.037996546,0.134715026,0.105354059,0.350604491,0.089810017
ant-1.7.csv,0.046632124,0.046632124,0.151986183,0.07253886,0.402417962,0.079447323
ant-1.7.csv,0.046632124,0.044905009,0.155440415,0.103626943,0.407599309,0.103626943
ant-1.7.csv,0.043177893,0.041450777,0.16925734,0.075993092,0.426597582,0.088082902
ant-1.7.csv,0.050086356,0.04835924,0.153713299,0.07253886,0.426597582,0.077720207
ant-1.7.csv,0.031088083,0.03626943,0.179620035,0.112262522,0.347150259,0.079447323
ant-1.7.csv,0.053540587,0.050086356,0.15716753,0.062176166,0.433506045,0.079447323
ant-1.7.csv,0.044905009,0.043177893,0.148531952,0.088082902,0.421416235,0.098445596
ant-1.7.csv,0.06044905,0.058721934,0.179620035,0.056994819,0.385146805,0.086355786
ant-1.7.csv,0.043177893,0.051813472,0.179620035,0.09671848,0.376511226,0.091537133
ant-1.7.csv,0.043177893,0.039723661,0.131260794,0.089810017,0.386873921,0.107081174
ant-1.7.csv,0.046632124,0.046632124,0.155440415,0.075993092,0.390328152,0.089810017
ant-1.7.csv,0.050086356,0.050086356,0.158894646,0.08462867,0.405872193,0.069084629
ant-1.7.csv,0.041450777,0.043177893,0.174438687,0.070811744,0.409326425,0.08462867
ant-1.7.csv,0.051813472,0.053540587,0.14507772,0.107081174,0.367875648,0.119170984
ant-1.7.csv,0.043177893,0.041450777,0.14507772,0.117443869,0.329879102,0.08462867
ant-1.7.csv,0.051813472,0.058721934,0.165803109,0.09671848,0.385146805,0.110535406
ant-1.7.csv,0.056994819,0.053540587,0.174438687,0.086355786,0.397236615,0.091537133
ant-1.7.csv,0.046632124,0.04835924,0.170984456,0.08462867,0.343696028,0.079447323
ant-1.7.csv,0.053540587,0.050086356,0.172711572,0.129533679,0.421416235,0.091537133
ant-1.7.csv,0.044905009,0.04835924,0.183074266,0.117443869,0.385146805,0.100172712
ant-1.7.csv,0.046632124,0.046632124,0.146804836,0.08462867,0.404145078,0.08462867
ant-1.7.csv,0.050086356,0.050086356,0.16925734,0.091537133,0.397236615,0.091537133
ant-1.7.csv,0.037996546,0.037996546,0.167530225,0.100172712,0.348877375,0.06044905
ant-1.7.csv,0.055267703,0.053540587,0.146804836,0.115716753,0.392055268,0.089810017
ant-1.7.csv,0.046632124,0.044905009,0.155440415,0.086355786,0.343696028,0.075993092
ant-1.7.csv,0.051813472,0.053540587,0.162348877,0.088082902,0.455958549,0.075993092
ant-1.7.csv,0.044905009,0.043177893,0.151986183,0.070811744,0.404145078,0.112262522
ant-1.7.csv,0.06044905,0.06044905,0.16925734,0.088082902,0.360967185,0.082901554
arc-1.csv,0.033816425,0.024154589,0.048309179,0.062801932,0.178743961,0.028985507
arc-1.csv,0.024154589,0.024154589,0.072463768,0.028985507,0.183574879,0.014492754
arc-1.csv,0.033816425,0.033816425,0.082125604,0.024154589,0.173913043,0.024154589
arc-1.csv,0.019323671,0.024154589,0.082125604,0.038647343,0.178743961,0.028985507
arc-1.csv,0.024154589,0.019323671,0.062801932,0.072463768,0.241545894,0.053140097
arc-1.csv,0.019323671,0.019323671,0.06763285,0.053140097,0.217391304,0.024154589
arc-1.csv,0.033816425,0.028985507,0.086956522,0.053140097,0.193236715,0.038647343
arc-1.csv,0.028985507,0.033816425,0.062801932,0.057971014,0.217391304,0.038647343
arc-1.csv,0.028985507,0.024154589,0.072463768,0.057971014,0.241545894,0.033816425
arc-1.csv,0.028985507,0.033816425,0.077294686,0.033816425,0.207729469,0.043478261
arc-1.csv,0.024154589,0.028985507,0.062801932,0.038647343,0.256038647,0.019323671
arc-1.csv,0.033816425,0.033816425,0.062801932,0.048309179,0.236714976,0.024154589
arc-1.csv,0.028985507,0.028985507,0.057971014,0.033816425,0.275362319,0.019323671
arc-1.csv,0.038647343,0.028985507,0.077294686,0.038647343,0.193236715,0.043478261
arc-1.csv,0.033816425,0.024154589,0.057971014,0.053140097,0.212560386,0.019323671
arc-1.csv,0.024154589,0.024154589,0.086956522,0.062801932,0.22705314,0.06763285
arc-1.csv,0.024154589,0.028985507,0.072463768,0.062801932,0.212560386,0.038647343
arc-1.csv,0.028985507,0.028985507,0.082125604,0.086956522,0.212560386,0.024154589
arc-1.csv,0.028985507,0.024154589,0.09178744,0.057971014,0.231884058,0.038647343
arc-1.csv,0.028985507,0.024154589,0.082125604,0.033816425,0.212560386,0.06763285
arc-1.csv,0.024154589,0.024154589,0.072463768,0.024154589,0.222222222,0.048309179
arc-1.csv,0.024154589,0.033816425,0.077294686,0.043478261,0.198067633,0.024154589
arc-1.csv,0.033816425,0.028985507,0.082125604,0.062801932,0.236714976,0.038647343
