testfile,Naive_CPDP_LR,Zscore_CPDP_LR,Zscore_SMOTE_CPDP_LR,Zscore_SMOTE_iFF_CPDP_LR,Zscore_WiFF_CPDP_LR,Zscore_WiFFplusL_CPDP_LR
ant-1.7.csv,0.25229787,0.25229787,0.737132857,0.648781024,0.673483509,0.592673388
ant-1.7.csv,0.243128516,0.252353911,0.728418955,0.691542401,0.685189952,0.664281297
ant-1.7.csv,0.243024319,0.243024319,0.736891049,0.700395868,0.692683293,0.578653634
ant-1.7.csv,0.214852523,0.214852523,0.732476116,0.660690337,0.675753217,0.590340501
ant-1.7.csv,0.224335132,0.224335132,0.723216129,0.668495424,0.704766117,0.57674243
ant-1.7.csv,0.25229787,0.261421806,0.718163318,0.658304539,0.681465988,0.576571959
ant-1.7.csv,0.224379438,0.243128516,0.721166922,0.685231005,0.69745287,0.627061707
ant-1.7.csv,0.270449842,0.270449842,0.735616313,0.691356179,0.676583552,0.616807877
ant-1.7.csv,0.25229787,0.25229787,0.726775956,0.688063769,0.689405033,0.604727315
ant-1.7.csv,0.233756119,0.243076497,0.737132857,0.660230817,0.664401415,0.60509331
ant-1.7.csv,0.261481974,0.261481974,0.737888478,0.693923447,0.68341846,0.629958341
ant-1.7.csv,0.233707865,0.243024319,0.728742198,0.680097288,0.680414262,0.561788837
ant-1.7.csv,0.233707865,0.233707865,0.734761537,0.694547332,0.662956939,0.586482888
ant-1.7.csv,0.270449842,0.261421806,0.730252083,0.644066209,0.657760686,0.57316728
ant-1.7.csv,0.205221809,0.205221809,0.68782555,0.671834147,0.683575207,0.615359845
ant-1.7.csv,0.233756119,0.233756119,0.73436396,0.697039334,0.68264944,0.594668489
ant-1.7.csv,0.24297198,0.243024319,0.721883847,0.657788988,0.69118209,0.575988994
ant-1.7.csv,0.243128516,0.252353911,0.729663574,0.67857006,0.671264759,0.6138989
ant-1.7.csv,0.233756119,0.233756119,0.737888478,0.683600944,0.672480575,0.60456064
ant-1.7.csv,0.224335132,0.233756119,0.733708769,0.687502811,0.694647373,0.610930249
ant-1.7.csv,0.25229787,0.25229787,0.743402928,0.686296241,0.672496613,0.60057028
ant-1.7.csv,0.261481974,0.261481974,0.737132857,0.680662815,0.701429249,0.612160989
ant-1.7.csv,0.243128516,0.243128516,0.741817316,0.681447121,0.678769603,0.61682887
ant-1.7.csv,0.243024319,0.243024319,0.745752313,0.685610696,0.714042367,0.572754132
ant-1.7.csv,0.261481974,0.261481974,0.743126758,0.675091774,0.679201369,0.607958272
ant-1.7.csv,0.25229787,0.25229787,0.735204247,0.676149248,0.703616381,0.525631745
ant-1.7.csv,0.233756119,0.243076497,0.737888478,0.652718066,0.702015082,0.595311631
ant-1.7.csv,0.233804225,0.233804225,0.712411268,0.649889041,0.698274578,0.592673388
ant-1.7.csv,0.243128516,0.243128516,0.74342257,0.683925136,0.681550794,0.512454584
ant-1.7.csv,0.261481974,0.261481974,0.743898103,0.640333297,0.690266286,0.583622829
arc-1.csv,0.199506173,0.199506173,0.589336589,0.610975278,0.60705947,0.631697688
arc-1.csv,0.199706314,0.199706314,0.58600823,0.57556407,0.569444444,0.666666667
arc-1.csv,0.199506173,0.199506173,0.592592593,0.576759966,0.577946768,0.652144129
arc-1.csv,0.199506173,0.199506173,0.617313592,0.57556407,0.600335852,0.645331117
arc-1.csv,0.199606686,0.199606686,0.553867792,0.608374384,0.584610892,0.647619048
arc-1.csv,0.199506173,0.199506173,0.592592593,0.576759966,0.577946768,0.636005626
arc-1.csv,0.199506173,0.199506173,0.583747927,0.598960528,0.576759966,0.656862745
arc-1.csv,0.199805068,0.199805068,0.589336589,0.609679618,0.605734767,0.643026005
arc-1.csv,0.199706314,0.199606686,0.583747927,0.573144573,0.600335852,0.654366544
arc-1.csv,0.199506173,0.257242916,0.552873076,0.574358974,0.568191721,0.659340659
arc-1.csv,0.199805068,0.199805068,0.589336589,0.609679618,0.601700823,0.661800487
arc-1.csv,0.199506173,0.199506173,0.58488228,0.57556407,0.591924399,0.651851852
arc-1.csv,0.199506173,0.199506173,0.589336589,0.589033189,0.566929134,0.656862745
arc-1.csv,0.199506173,0.199506173,0.581453634,0.604400166,0.564373898,0.671717172
arc-1.csv,0.199506173,0.199506173,0.58488228,0.573144573,0.566929134,0.645331117
arc-1.csv,0.199506173,0.199506173,0.58600823,0.581604121,0.597574732,0.647619048
arc-1.csv,0.199805068,0.199706314,0.58600823,0.605734767,0.609679618,0.636005626
arc-1.csv,0.257242916,0.257242916,0.583747927,0.559139785,0.612734717,0.646766169
arc-1.csv,0.199506173,0.199506173,0.553867792,0.60705947,0.582605077,0.659340659
arc-1.csv,0.199506173,0.199506173,0.551870748,0.60705947,0.582605077,0.664242424
arc-1.csv,0.199506173,0.199506173,0.58600823,0.574358974,0.571920758,0.671717172
arc-1.csv,0.257242916,0.257242916,0.587125871,0.576759966,0.605734767,0.659340659
arc-1.csv,0.199706314,0.199706314,0.58488228,0.576759966,0.604400166,0.62745098
arc-1.csv,0.199506173,0.199506173,0.588235294,0.58488228,0.57556407,0.649889989
arc-1.csv,0.199506173,0.199506173,0.551870748,0.576759966,0.596178344,0.669073406
arc-1.csv,0.199506173,0.199506173,0.588235294,0.604400166,0.600335852,0.64160401
arc-1.csv,0.199506173,0.199506173,0.582605077,0.574358974,0.600335852,0.666666667
arc-1.csv,0.199506173,0.199506173,0.55086072,0.600335852,0.600335852,0.620957309
arc-1.csv,0.199506173,0.199506173,0.588235294,0.579124579,0.577946768,0.690899716
arc-1.csv,0.199805068,0.199805068,0.549842902,0.603055556,0.576759966,0.62745098
camel-1.6.csv,0.061799975,0.061799975,0.488974686,0.565283516,0.555286116,0.563584394
camel-1.6.csv,0.071723353,0.071723353,0.466768334,0.5393034,0.489547157,0.587704088
camel-1.6.csv,0.071719852,0.071719852,0.484792489,0.52466877,0.510124494,0.577429657
camel-1.6.csv,0.071719852,0.071719852,0.461564879,0.496483783,0.499108734,0.595138885
camel-1.6.csv,0.071723353,0.071723353,0.477579687,0.533691687,0.531891788,0.561169418
camel-1.6.csv,0.071719852,0.071716341,0.475514549,0.509773495,0.502630156,0.569502037
camel-1.6.csv,0.071719852,0.071723353,0.496563912,0.557324505,0.509612583,0.573197642
camel-1.6.csv,0.071723353,0.071723353,0.477494214,0.547602796,0.516975233,0.569641924
camel-1.6.csv,0.071719852,0.071716341,0.48614214,0.547045559,0.518307805,0.585854939
camel-1.6.csv,0.071726845,0.071726845,0.487069569,0.55861995,0.499511944,0.575406474
camel-1.6.csv,0.071723353,0.071723353,0.483667018,0.550624404,0.547446782,0.584003187
camel-1.6.csv,0.071712822,0.071712822,0.500483235,0.547189282,0.52559248,0.583735872
camel-1.6.csv,0.071716341,0.071716341,0.478172719,0.531176675,0.516499543,0.57438928
camel-1.6.csv,0.081522034,0.081522034,0.481889885,0.529840637,0.505857295,0.572039185
camel-1.6.csv,0.071723353,0.071723353,0.473517797,0.538403355,0.516640176,0.581314879
camel-1.6.csv,0.071726845,0.071726845,0.480806337,0.554098066,0.534049234,0.589160231
camel-1.6.csv,0.071712822,0.071709294,0.474333506,0.559032861,0.568209564,0.586547378
camel-1.6.csv,0.071709294,0.071709294,0.476083559,0.53993742,0.532015211,0.579973562
camel-1.6.csv,0.081522034,0.081522034,0.487531711,0.529135968,0.515213228,0.579722964
camel-1.6.csv,0.071716341,0.071716341,0.485520136,0.528230039,0.522659213,0.583725898
camel-1.6.csv,0.081531142,0.081531142,0.483098996,0.562759187,0.561484455,0.582762631
camel-1.6.csv,0.071719852,0.071719852,0.49479839,0.555611044,0.522659213,0.578441081
camel-1.6.csv,0.071723353,0.071719852,0.483399464,0.534838935,0.519936749,0.556598089
camel-1.6.csv,0.071719852,0.071723353,0.487821664,0.51107342,0.542279181,0.584654986
camel-1.6.csv,0.071709294,0.071709294,0.488687444,0.530437102,0.462956289,0.587906522
camel-1.6.csv,0.071723353,0.071723353,0.484267106,0.545883812,0.459853923,0.569263041
camel-1.6.csv,0.071723353,0.071723353,0.46348228,0.538581157,0.523502686,0.586336214
camel-1.6.csv,0.071709294,0.071709294,0.484296566,0.564445768,0.522321618,0.576756766
camel-1.6.csv,0.071719852,0.071719852,0.472919777,0.554949778,0.495703168,0.57725028
camel-1.6.csv,0.071716341,0.071716341,0.497354763,0.55180147,0.506879259,0.583638898
ivy-2.0.csv,0.486613783,0.486613783,0.708613728,0.706182065,0.737321196,0.68046133
ivy-2.0.csv,0.486613783,0.486613783,0.747224594,0.714812332,0.744948409,0.706877729
ivy-2.0.csv,0.486613783,0.486613783,0.723214286,0.722640673,0.731039018,0.64665127
ivy-2.0.csv,0.427998966,0.427998966,0.705915179,0.724679345,0.718108831,0.669117647
ivy-2.0.csv,0.428313564,0.428313564,0.703475336,0.704720835,0.703259393,0.687811509
ivy-2.0.csv,0.428313564,0.428313564,0.719039224,0.724137931,0.724115334,0.673497268
ivy-2.0.csv,0.458038423,0.458038423,0.69476082,0.708276798,0.710526316,0.69857841
