testfile,Naive_CPDP_LR,Zscore_CPDP_LR,Zscore_SMOTE_CPDP_LR,Zscore_SMOTE_iFF_CPDP_LR,Zscore_WiFF_CPDP_LR,Zscore_WiFFplusL_CPDP_LR
ant-1.7.csv,0.172910663,0.172910663,0.637472284,0.60518732,0.601202405,0.652557319
ant-1.7.csv,0.166184971,0.173160173,0.627753304,0.604963806,0.579399142,0.675925926
ant-1.7.csv,0.165706052,0.165706052,0.640744797,0.611285266,0.591684435,0.647419073
ant-1.7.csv,0.145137881,0.145137881,0.629877369,0.585,0.574288725,0.661700263
ant-1.7.csv,0.15195369,0.15195369,0.615124153,0.612745098,0.605573419,0.65008726
ant-1.7.csv,0.172910663,0.179856115,0.608793687,0.575176589,0.58792924,0.633245383
ant-1.7.csv,0.152173913,0.166184971,0.61452514,0.631163708,0.599787686,0.666066607
ant-1.7.csv,0.186781609,0.186781609,0.636061947,0.626252505,0.614469772,0.661896243
ant-1.7.csv,0.172910663,0.172910663,0.622914349,0.607763023,0.580890337,0.660460993
ant-1.7.csv,0.158959538,0.165945166,0.637472284,0.599214145,0.601577909,0.647321429
ant-1.7.csv,0.180115274,0.180115274,0.6381798,0.604166667,0.602040816,0.667267809
ant-1.7.csv,0.158730159,0.165706052,0.620728929,0.589451913,0.582371459,0.648228176
ant-1.7.csv,0.158730159,0.158730159,0.630630631,0.612139918,0.597826087,0.65026362
ant-1.7.csv,0.186781609,0.179856115,0.631174533,0.618508026,0.612934363,0.652173913
ant-1.7.csv,0.138081395,0.138081395,0.56712963,0.597389558,0.624380575,0.658012534
ant-1.7.csv,0.158959538,0.158959538,0.636663008,0.624365482,0.612449799,0.643300799
ant-1.7.csv,0.165467626,0.165706052,0.615212528,0.594886922,0.620585267,0.656521739
ant-1.7.csv,0.166184971,0.173160173,0.632497274,0.590955807,0.591506572,0.654121864
ant-1.7.csv,0.158959538,0.158959538,0.6381798,0.591900312,0.571878279,0.663716814
ant-1.7.csv,0.15195369,0.158959538,0.632630411,0.573951435,0.582039911,0.65625
ant-1.7.csv,0.172910663,0.172910663,0.652173913,0.631786772,0.600600601,0.648888889
ant-1.7.csv,0.180115274,0.180115274,0.637472284,0.611222445,0.605095541,0.666666667
ant-1.7.csv,0.166184971,0.166184971,0.648854962,0.595482546,0.596330275,0.658602151
ant-1.7.csv,0.165706052,0.165706052,0.656182213,0.614300101,0.633437175,0.655381944
ant-1.7.csv,0.180115274,0.180115274,0.64640884,0.605,0.613160518,0.655080214
ant-1.7.csv,0.172910663,0.172910663,0.63403782,0.611332008,0.618503119,0.639830508
ant-1.7.csv,0.158959538,0.165945166,0.6381798,0.566228514,0.622427984,0.660211268
ant-1.7.csv,0.15918958,0.15918958,0.601799775,0.599613153,0.607329843,0.652557319
ant-1.7.csv,0.166184971,0.166184971,0.650273224,0.594622544,0.600814664,0.639192599
ant-1.7.csv,0.180115274,0.180115274,0.647123894,0.607210626,0.589798087,0.645869947
arc-1.csv,0.129310345,0.129310345,0.410958904,0.419354839,0.411392405,0.418848168
arc-1.csv,0.131578947,0.131578947,0.402684564,0.379746835,0.36809816,0.461538462
arc-1.csv,0.129310345,0.129310345,0.41958042,0.382165605,0.384615385,0.442708333
arc-1.csv,0.129310345,0.129310345,0.433333333,0.379746835,0.398773006,0.435897436
arc-1.csv,0.130434783,0.130434783,0.37414966,0.414012739,0.373563218,0.43814433
arc-1.csv,0.129310345,0.129310345,0.41958042,0.382165605,0.384615385,0.427135678
arc-1.csv,0.129310345,0.129310345,0.397350993,0.396341463,0.382165605,0.452261307
arc-1.csv,0.132743363,0.132743363,0.410958904,0.416666667,0.408805031,0.433673469
arc-1.csv,0.131578947,0.130434783,0.397350993,0.375,0.398773006,0.45
arc-1.csv,0.129310345,0.170940171,0.371621622,0.377358491,0.365853659,0.454545455
arc-1.csv,0.132743363,0.132743363,0.410958904,0.416666667,0.401234568,0.456852792
arc-1.csv,0.129310345,0.129310345,0.4,0.379746835,0.384615385,0.447761194
arc-1.csv,0.129310345,0.129310345,0.410958904,0.380116959,0.363636364,0.452261307
arc-1.csv,0.129310345,0.129310345,0.392156863,0.40625,0.359281437,0.472636816
arc-1.csv,0.129310345,0.129310345,0.4,0.375,0.363636364,0.435897436
arc-1.csv,0.129310345,0.129310345,0.402684564,0.369318182,0.393939394,0.43814433
arc-1.csv,0.132743363,0.131578947,0.402684564,0.408805031,0.416666667,0.427135678
arc-1.csv,0.170940171,0.170940171,0.397350993,0.350877193,0.402298851,0.443349754
arc-1.csv,0.129310345,0.129310345,0.37414966,0.411392405,0.394736842,0.454545455
arc-1.csv,0.129310345,0.129310345,0.369127517,0.411392405,0.394736842,0.459183673
arc-1.csv,0.129310345,0.129310345,0.402684564,0.377358491,0.372670807,0.472636816
arc-1.csv,0.170940171,0.170940171,0.405405405,0.382165605,0.408805031,0.454545455
arc-1.csv,0.131578947,0.131578947,0.4,0.382165605,0.40625,0.414507772
arc-1.csv,0.129310345,0.129310345,0.408163265,0.4,0.379746835,0.440414508
arc-1.csv,0.129310345,0.129310345,0.369127517,0.382165605,0.391566265,0.463917526
arc-1.csv,0.129310345,0.129310345,0.408163265,0.40625,0.398773006,0.43902439
arc-1.csv,0.129310345,0.129310345,0.394736842,0.377358491,0.398773006,0.461538462
arc-1.csv,0.129310345,0.129310345,0.366666667,0.398773006,0.398773006,0.408163265
arc-1.csv,0.129310345,0.129310345,0.408163265,0.387096774,0.384615385,0.497512438
arc-1.csv,0.132743363,0.132743363,0.364238411,0.403726708,0.382165605,0.414507772
camel-1.6.csv,0.038461538,0.038461538,0.335276968,0.41472507,0.402843602,0.449669967
camel-1.6.csv,0.044871795,0.044871795,0.313706564,0.385714286,0.335929893,0.475
camel-1.6.csv,0.044814341,0.044814341,0.331384016,0.370548604,0.355805243,0.462114904
camel-1.6.csv,0.044814341,0.044814341,0.31003937,0.344311377,0.346191889,0.468615649
camel-1.6.csv,0.044871795,0.044871795,0.323501427,0.379867047,0.378071834,0.443615257
camel-1.6.csv,0.044814341,0.044757033,0.321805956,0.355472404,0.348499516,0.446127946
camel-1.6.csv,0.044814341,0.044871795,0.3420806,0.40527804,0.355113636,0.469387755
camel-1.6.csv,0.044871795,0.044871795,0.323984526,0.397260274,0.36259542,0.453034081
camel-1.6.csv,0.044814341,0.044757033,0.331753555,0.394981413,0.363984674,0.481085526
camel-1.6.csv,0.044929397,0.044929397,0.33269962,0.409836066,0.345666991,0.460963455
