testfile,Naive_CPDP_RF,Zscore_CPDP_RF,Zscore_SMOTE_CPDP_RF,Zscore_SMOTE_iFF_CPDP_RF,Zscore_WiFF_CPDP_RF,Zscore_WiFFplusL_CPDP_RF
ant-1.7.csv,0.31292517,0.300546448,0.533573141,0.135317997,0.273698264,0.693069307
ant-1.7.csv,0.319727891,0.333333333,0.551558753,0.23653088,0.239361702,0.665
ant-1.7.csv,0.318428184,0.331081081,0.571260306,0.117565698,0.26034713,0.658276864
ant-1.7.csv,0.286493861,0.293315143,0.517241379,0.15394913,0.236842105,0.668912416
ant-1.7.csv,0.287277702,0.287671233,0.574912892,0.196743555,0.207774799,0.657769304
ant-1.7.csv,0.330188679,0.330634278,0.575793184,0.151098901,0.298408488,0.682464455
ant-1.7.csv,0.244072524,0.243055556,0.524475524,0.235294118,0.176630435,0.64889336
ant-1.7.csv,0.291327913,0.292119565,0.532544379,0.165745856,0.143638851,0.659392789
ant-1.7.csv,0.306122449,0.293715847,0.567375887,0.168918919,0.281413613,0.667938931
ant-1.7.csv,0.315013405,0.315436242,0.565819861,0.146239554,0.227272727,0.664711632
ant-1.7.csv,0.33197832,0.32974428,0.560693642,0.238095238,0.282894737,0.672227674
ant-1.7.csv,0.30653951,0.307377049,0.558223289,0.270805812,0.291828794,0.668292683
ant-1.7.csv,0.337381916,0.324763194,0.575117371,0.163934426,0.188172043,0.666991237
ant-1.7.csv,0.279291553,0.279291553,0.531914894,0.188933873,0.117891817,0.661196911
ant-1.7.csv,0.274725275,0.274348422,0.552325581,0.190995907,0.259308511,0.676583493
ant-1.7.csv,0.291723202,0.291327913,0.526315789,0.217391304,0.319284802,0.692534381
ant-1.7.csv,0.280821918,0.274725275,0.552913199,0.184210526,0.221179625,0.664300203
ant-1.7.csv,0.336021505,0.340453939,0.560747664,0.154777927,0.172413793,0.677387914
ant-1.7.csv,0.284167794,0.297699594,0.547147846,0.214477212,0.168463612,0.676982592
ant-1.7.csv,0.273597811,0.273224044,0.543224299,0.271883289,0.183175034,0.667670683
ant-1.7.csv,0.291327913,0.304878049,0.573580533,0.238402062,0.251655629,0.651340996
ant-1.7.csv,0.331529093,0.330634278,0.574712644,0.252918288,0.212201592,0.660469667
ant-1.7.csv,0.312075984,0.318428184,0.552256532,0.240320427,0.246666667,0.678537055
ant-1.7.csv,0.317567568,0.317567568,0.543859649,0.200803213,0.16194332,0.660194175
ant-1.7.csv,0.275482094,0.281980743,0.544496487,0.27486911,0.145833333,0.678642715
ant-1.7.csv,0.290933694,0.291327913,0.552256532,0.222222222,0.239361702,0.649414063
ant-1.7.csv,0.324763194,0.3125,0.522565321,0.265251989,0.248322148,0.680680681
ant-1.7.csv,0.272479564,0.284938942,0.546415981,0.271164021,0.183673469,0.659494855
ant-1.7.csv,0.306122449,0.30653951,0.539739027,0.293724967,0.368487929,0.670202507
ant-1.7.csv,0.34,0.34620506,0.517647059,0.252324037,0.195681511,0.695266272
arc-1.csv,0.168067227,0.170940171,0.390625,0.198412698,0.086206897,0.46875
arc-1.csv,0.211864407,0.170940171,0.340909091,0.128205128,0.044642857,0.465838509
arc-1.csv,0.127118644,0.127118644,0.30075188,0.086956522,0.086956522,0.414012739
arc-1.csv,0.172413793,0.129310345,0.404411765,0.20661157,0.043478261,0.440251572
arc-1.csv,0.25210084,0.254237288,0.381679389,0.23255814,0.31496063,0.406976744
arc-1.csv,0.172413793,0.172413793,0.378787879,0.387596899,0.086956522,0.446428571
arc-1.csv,0.247933884,0.25,0.333333333,0.162601626,0.042735043,0.460122699
arc-1.csv,0.210084034,0.168067227,0.381679389,0.348837209,0.166666667,0.473372781
arc-1.csv,0.25,0.170940171,0.340909091,0.275590551,0.043103448,0.459770115
arc-1.csv,0.25,0.286885246,0.373134328,0.127118644,0.084033613,0.505952381
arc-1.csv,0.211864407,0.210084034,0.310077519,0.20661157,0,0.47752809
arc-1.csv,0.168067227,0.168067227,0.346153846,0.083333333,0,0.488505747
arc-1.csv,0.169491525,0.169491525,0.3125,0.085470085,0.044247788,0.44198895
arc-1.csv,0.20661157,0.169491525,0.267175573,0.084745763,0.042372881,0.460122699
arc-1.csv,0.208333333,0.330578512,0.384615385,0.201612903,0.044247788,0.50295858
arc-1.csv,0.170940171,0.170940171,0.367647059,0.236220472,0.271317829,0.441176471
arc-1.csv,0.211864407,0.25,0.340909091,0.2734375,0.042735043,0.476190476
arc-1.csv,0.169491525,0.169491525,0.30075188,0.333333333,0.086956522,0.449101796
arc-1.csv,0.25,0.25210084,0.364963504,0.161290323,0.084745763,0.49132948
arc-1.csv,0.25,0.211864407,0.37037037,0.127118644,0.34351145,0.50295858
arc-1.csv,0.170940171,0.170940171,0.410447761,0,0.163934426,0.443786982
arc-1.csv,0.291666667,0.208333333,0.373134328,0.204918033,0.129310345,0.457317073
arc-1.csv,0.208333333,0.289256198,0.30075188,0.198412698,0.12605042,0.462427746
arc-1.csv,0.170940171,0.25210084,0.298507463,0.303030303,0.084745763,0.460122699
arc-1.csv,0.210084034,0.25,0.271317829,0.085470085,0.275590551,0.449438202
arc-1.csv,0.172413793,0.211864407,0.37593985,0.127118644,0.307692308,0.416666667
arc-1.csv,0.168067227,0.128205128,0.373134328,0.236220472,0.169491525,0.487012987
arc-1.csv,0.210084034,0.169491525,0.303030303,0.24,0.238095238,0.482954545
arc-1.csv,0.210084034,0.210084034,0.378787879,0.203252033,0.084745763,0.440251572
arc-1.csv,0.169491525,0.169491525,0.340909091,0.161290323,0.086206897,0.451807229
camel-1.6.csv,0.092936803,0.093399751,0.25862069,0.286016949,0.16336056,0.416285453
camel-1.6.csv,0.086956522,0.093052109,0.27173913,0.244988864,0.179190751,0.393154487
camel-1.6.csv,0.098159509,0.104679803,0.293501048,0.215419501,0.234553776,0.457013575
camel-1.6.csv,0.115995116,0.110159119,0.303514377,0.152046784,0.21714922,0.389249305
camel-1.6.csv,0.116421569,0.11627907,0.276301807,0.197152245,0.176600442,0.376588022
camel-1.6.csv,0.093283582,0.08125,0.32460733,0.227027027,0.216426193,0.441176471
camel-1.6.csv,0.096269555,0.113908873,0.307933194,0.278993435,0.19509476,0.443438914
camel-1.6.csv,0.098159509,0.104422604,0.342679128,0.312180143,0.176600442,0.442518248
camel-1.6.csv,0.090799031,0.084951456,0.301142264,0.250556793,0.238611714,0.433996383
camel-1.6.csv,0.084745763,0.078787879,0.301587302,0.220338983,0.237045204,0.431279621
camel-1.6.csv,0.111248455,0.086313194,0.252897787,0.184770437,0.156976744,0.38277512
camel-1.6.csv,0.09202454,0.092592593,0.318471338,0.25,0.245261984,0.449152542
camel-1.6.csv,0.104551046,0.110837438,0.315789474,0.233592881,0.224719101,0.429087624
camel-1.6.csv,0.08135169,0.087064677,0.301075269,0.290390707,0.220090293,0.433212996
camel-1.6.csv,0.093632959,0.09864365,0.306971904,0.267175573,0.205183585,0.443151298
camel-1.6.csv,0.092821782,0.087173101,0.279269603,0.296703297,0.168800931,0.425631431
camel-1.6.csv,0.093283582,0.104679803,0.306878307,0.315508021,0.278080698,0.449183303
camel-1.6.csv,0.09135201,0.085261876,0.308641975,0.199556541,0.247252747,0.427046263
camel-1.6.csv,0.104551046,0.092250923,0.294432548,0.245261984,0.109321059,0.441570027
camel-1.6.csv,0.093167702,0.086526576,0.296610169,0.268935236,0.162192394,0.415913201
camel-1.6.csv,0.098039216,0.103785104,0.296924708,0.223799127,0.275080906,0.431338028
camel-1.6.csv,0.116995074,0.123304562,0.276572668,0.259381898,0.119047619,0.424746076
camel-1.6.csv,0.1,0.100250627,0.310880829,0.277481323,0.216907675,0.44
camel-1.6.csv,0.11627907,0.117283951,0.275181724,0.275974026,0.199115044,0.422907489
camel-1.6.csv,0.104294479,0.122249389,0.319148936,0.205479452,0.155902004,0.415145985
camel-1.6.csv,0.116564417,0.11627907,0.287107259,0.235690236,0.14739229,0.41472507
camel-1.6.csv,0.110974106,0.116707617,0.268703899,0.213581599,0.202247191,0.45
camel-1.6.csv,0.104938272,0.110837438,0.294117647,0.302049622,0.236263736,0.426605505
camel-1.6.csv,0.126506024,0.138055222,0.303810505,0.262593783,0.183946488,0.465320457
camel-1.6.csv,0.108433735,0.09057971,0.277486911,0.2,0.158264947,0.411334552
ivy-2.0.csv,0.382653061,0.382653061,0.485232068,0.193236715,0.306603774,0.579470199
ivy-2.0.csv,0.360824742,0.357142857,0.50660793,0.34562212,0.259433962,0.572390572
ivy-2.0.csv,0.343915344,0.340314136,0.520361991,0.199004975,0.281690141,0.557432432
