,BF_LR,BNaive_LR,BTCAplus_LR,BTNB_LR,CFPS_LR,DFAC_LR,DMDA_JFR_LR,EASC_LR,HISNN_LR,HSBF_LR,TCAplus_LR,TNB_LR,WiFLF_LR
ant-1.3,0.033133733,0.225948104,0.333333333,0,0.015369261,0.003393214,0.015369261,0.005588822,0.01237525,0.005988024,0.579840319,0.019760479,0.373453094
arc-1,0.019967794,0.306763285,0.312882448,0,0.022222222,0.007085346,0.026570048,0.007568438,0.005958132,0.014492754,0.548792271,0.033011272,0.370531401
camel-1.0,0.033742331,0.320143149,0.402965235,0,0.009611452,0.003885481,0.018916155,0.005214724,0.012372188,0.003067485,0.379447853,0.046932515,0.447750511
ivy-1.4,0.045333333,0.341333333,0.329185185,0,0.031407407,0.024,0.01037037,0.024148148,0.022814815,0.026666667,0.065925926,0.035851852,0.418666667
jedit-3.2,0.070512821,0.262087912,0.212271062,0,0.051648352,0.042673993,0.024175824,0.042673993,0.03956044,0.043956044,0.845238095,0.046886447,0.471794872
log4j-1.0,0.018811881,0.160726073,0.251485149,0,0.000660066,0,0,0,0.000660066,0,0.681848185,0.011881188,0.404620462
lucene-2.0,0.000641026,0.298397436,0.204166667,0,0,0,0.000320513,0,0.000641026,0.009615385,0.516025641,0.004166667,0.423397436
poi-2.0,0.062815884,0.460770156,0.350541516,0,0.025030084,0.020697954,0.067749699,0.021179302,0.023586041,0.072202166,0.001083032,0.050421179,0.685559567
redaktor-1,0.044742729,0.674049217,0.40917226,0,0.017449664,0.013422819,0.022818792,0.013422819,0.008501119,0.073825503,0.46935123,0.001565996,0.646979866
synapse-1.0,0.035933806,0.579669031,0.38534279,0,0.040425532,0.015602837,0.012056738,0.018676123,0.021749409,0.269503546,0.511347518,0.034751773,0.702364066
tomcat-6.0.389418,0.009901835,0.223346137,0.282415706,0,0.024583867,0.013017499,0.01190781,0.010157917,0.019206146,0.006402049,0.031284678,0.051173709,0.439564661
velocity-1.6,0.005298013,0.275496689,0.27218543,0,0.006622517,0.006622517,0.005739514,0.006622517,0.007505519,0.026490066,0,0.006181015,0.339514349
xalan-2.4,0.111636759,0.396247961,0.281729201,0,0.130560087,0.115986949,0.114083741,0.107123437,0.080043502,0.102773246,0.02240348,0.094671017,0.657640022
xerces-init,0.041176471,0.26745098,0.255686275,0,0.020784314,0.017647059,0.016470588,0.019607843,0.009019608,0.070588235,0.034117647,0.015294118,0.425490196
ant-1.7,0.013126079,0.243465746,0.278814047,0,0.040299367,0.009959701,0.055037421,0.011974669,0.016925734,0.025906736,0.019170984,0.02412205,0.553483017
arc-1,0.023832528,0.173590982,0.370531401,0,0.024154589,0.021417069,0.031723027,0.013043478,0.026731079,0.014492754,0.620772947,0.028985507,0.350241546
camel-1.6,0.051909052,0.244015444,0.373702274,0,0.046675247,0.028871729,0.025740026,0.026254826,0.038910339,0.032175032,0.094380094,0.043028743,0.427284427
ivy-2.0,0.038888889,0.267307692,0.290277778,0,0.088247863,0.032478632,0.037606838,0.037179487,0.036538462,0.048076923,0.050320513,0.035363248,0.448183761
jedit-4.3,0.208038808,0.357103257,0.5000693,0,0.173873874,0.158350658,0.112681913,0.158004158,0.151143451,0.151767152,0.980734581,0.118225918,0.665211365
log4j-1.1,0.0125,0.139814815,0.200925926,0,0.001388889,0,0,0,0.001388889,0.111111111,0.78287037,0,0.412037037
lucene-2.0,0.009615385,0.158012821,0.225320513,0,0,0,0.006730769,0,0.001282051,0.009615385,0.681730769,0,0.430769231
poi-2.0,0.031648616,0.463417569,0.377858002,0,0.04211793,0.01732852,0.12755716,0.018652226,0.017569194,0.028880866,0.012274368,0.084596871,0.654873646
redaktor-1,0.216107383,0.426621924,0.475615213,0,0.028187919,0.020134228,0.128635347,0.020134228,0.031543624,0.060402685,0.555033557,0.000447427,0.674720358
synapse-1.2,0.035294118,0.165882353,0.284509804,0,0.030392157,0.003921569,0.026666667,0.002745098,0.025686275,0.052941176,0.641568627,0.006666667,0.581764706
tomcat-6.0.389418,0.104652155,0.244003414,0.217755015,0,0.076099018,0.05915493,0.072172429,0.075160051,0.051600512,0.122919334,0.049722578,0.048954332,0.42629108
velocity-1.6,0.014128035,0.165783664,0.276821192,0,0.013907285,0.000220751,0.002428256,0.000220751,0.000883002,0.033112583,0.003752759,0.000441501,0.383664459
xalan-2.6,0.01673699,0.275527426,0.227637131,0,0.022011252,0.016244726,0.110548523,0.017791842,0.027496484,0.071729958,0.012376934,0.046624473,0.55
xerces-1.3,0.026822917,0.190972222,0.158072917,0,0.0828125,0.029947917,0.028298611,0.040798611,0.042795139,0.065104167,0.038802083,0.025260417,0.363454861
EQ,0.031623932,0.134017094,0.155213675,0,0.00974359,0.014700855,0.006495726,0.019487179,0.012649573,0.01025641,0.778974359,0.028547009,0.335897436
JDT,0.046312684,0.65844922,0.433417615,0,0.10783818,0.05448799,0.023809524,0.06797303,0.050231774,0.796460177,0,0.089169827,0.441761483
LC,0.053163211,0.186656034,0.292610314,0,0.077511962,0.018500797,0.005901116,0.013928761,0.015789474,0.301435407,0.537107921,0.020042531,0.4897395
ML,0.057390229,0.456503814,0.50876108,0,0.11828489,0.072273758,0.061100804,0.048134405,0.023685838,0.703772418,0.217212946,0.049866007,0.214533086
PDE,0.079089027,0.347075569,0.366511387,0,0.080175983,0.076966874,0.066252588,0.070212215,0.048395445,0.548913043,0.390942029,0.084989648,0.592158385
Apache,0.677083333,0.451736111,0.621875,0.209027778,0.2875,0.268055556,0.134375,0.361805556,0.309375,0.447916667,0.272222222,0.585763889,0.594097222
Safe,0.179411765,0.190196078,0.278431373,0,0.135294118,0.007843137,0.102941176,0.830392157,0.707843137,0.205882353,0.708823529,0.13627451,0.387254902
Zxing,0.080308422,0.082206406,0.017081851,0,0.115183867,0.045551601,0.034519573,0.891459075,0.649940688,0.053380783,1,0.052906287,0.120166074
Average,0.070592555,0.300410809,0.311532641,0.005806327,0.055502092,0.034456852,0.042993654,0.083537108,0.070899956,0.128384008,0.364875001,0.054522947,0.469580965
