,BF_NB,BNaive_NB,BTCAplus_NB,BTNB_NB,CFPS_NB,DFAC_NB,DMDA_JFR_NB,EASC_NB,HISNN_NB,HSBF_NB,TCAplus_NB,TNB_NB,WiFLF_NB
ant-1.3,0,0.795,0.85,0,0.205,0.195,0.57,0.2,0.188333333,0.45,0.078333333,0.136666667,0.891666667
arc-1,0.103703704,0.537037037,0.565432099,0,0.202469136,0.185185185,0.219753086,0.187654321,0.17037037,0.222222222,0.1,0.204938272,0.637037037
camel-1.0,0.230769231,0.592307692,0.692307692,0,0.292307692,0.305128205,0.392307692,0.312820513,0.251282051,0.230769231,0,0.212820513,0.761538462
ivy-1.4,0.125,0.56875,0.7,0,0.333333333,0.258333333,0.425,0.277083333,0.225,0.375,0.7375,0.09375,0.654166667
jedit-3.2,0.00962963,0.582592593,0.584074074,0,0.232592593,0.226296296,0.690740741,0.234444444,0.164074074,0.311111111,1,0.255185185,0.707407407
log4j-1.0,0.003921569,0.430392157,0.721568627,0,0.095098039,0.089215686,0.190196078,0.092156863,0.05,0.088235294,0.032352941,0.080392157,0.698039216
lucene-2.0,0.067765568,0.562271062,0.63956044,0,0.091575092,0.090842491,0.420512821,0.095238095,0.053113553,0.373626374,0.125274725,0.050549451,0.668131868
poi-2.0,0.027027027,0.584684685,0.568468468,0,0.223423423,0.217117117,0.382882883,0.218018018,0.186486486,0.378378378,0.558558559,0.244144144,0.74954955
redaktor-1,1,0.569135802,0.317283951,0,0.080246914,0.054320988,0.643209877,0.074074074,0.050617284,0.296296296,0.00617284,0.016049383,0.765432099
synapse-1.0,0.047916667,0.720833333,0.875,0,0.364583333,0.335416667,0.564583333,0.347916667,0.308333333,0.9375,0.022916667,0.195833333,0.877083333
tomcat-6.0.389418,0.973593074,0.729437229,0.754978355,0,0.466666667,0.441991342,0.628138528,0.457575758,0.48008658,0.467532468,0.785714286,0.343722944,0.848484848
velocity-1.6,0.057264957,0.401709402,0.470940171,0,0.10982906,0.117094017,0.184615385,0.121367521,0.094871795,0.153846154,0.541452991,0.049145299,0.548717949
xalan-2.4,0.027272727,0.727575758,0.679090909,0,0.535151515,0.524545455,0.63969697,0.530909091,0.367878788,0.336363636,0.677575758,0.356666667,0.877272727
