,BF_RF,BNaive_RF,BTCAplus_RF,BTNB_RF,CFPS_RF,DFAC_RF,DMDA_JFR_RF,EASC_RF,HISNN_RF,HSBF_RF,TCAplus_RF,TNB_RF,WiFLF_RF
ant-1.3,0.203333333,0.808333333,0.703333333,0,0.386666667,0.18,0.07,0.168333333,0.13,0.158333333,0.48,0.136666667,0.898333333
arc-1,0.069135802,0.585185185,0.450617284,0,0.159259259,0.034567901,0.072839506,0.02962963,0.033333333,0.108641975,0.6,0.204938272,0.533333333
camel-1.0,0.097435897,0.615384615,0.456410256,0,0.182051282,0.064102564,0.038461538,0.071794872,0.097435897,0.007692308,0.630769231,0.212820513,0.551282051
ivy-1.4,0.24375,0.666666667,0.552083333,0,0.245833333,0.210416667,0.097916667,0.204166667,0.18125,0.297916667,0.333333333,0.09375,0.704166667
jedit-3.2,0.215555556,0.635925926,0.29,0,0.217777778,0.171481481,0.144074074,0.166296296,0.127037037,0.065925926,0.877407407,0.255185185,0.701111111
log4j-1.0,0.094117647,0.404901961,0.470588235,0,0.151960784,0.107843137,0.047058824,0.112745098,0.045098039,0.12254902,0.65,0.080392157,0.620588235
lucene-2.0,0.023076923,0.561904762,0.211355311,0,0.054578755,0.020512821,0.054212454,0.019047619,0.015018315,0.01978022,0.594139194,0.050549451,0.50952381
poi-2.0,0.118018018,0.595495495,0.311711712,0,0.158558559,0.126126126,0.09009009,0.122522523,0.1,0.389189189,0.164864865,0.244144144,0.627927928
redaktor-1,0.065432099,0.445679012,0.113580247,0,0.051851852,0.018518519,0.054320988,0.027160494,0.025925926,0.016049383,0.448148148,0.016049383,0.497530864
synapse-1.0,0.464583333,0.83125,0.591666667,0,0.464583333,0.210416667,0.10625,0.185416667,0.247916667,0.027083333,0.697916667,0.195833333,0.9125
tomcat-6.0.389418,0.083549784,0.73030303,0.432467532,0,0.162770563,0.094372294,0.094805195,0.087445887,0.087878788,0.381385281,0.350649351,0.343722944,0.777056277
velocity-1.6,0.044017094,0.461965812,0.273931624,0,0.060683761,0.047863248,0.044017094,0.048717949,0.046581197,0.056410256,0.077350427,0.049145299,0.514102564
xalan-2.4,0.366666667,0.72030303,0.459090909,0,0.407575758,0.376666667,0.196666667,0.367878788,0.281818182,0.024545455,0.212727273,0.356666667,0.817272727
xerces-init,0.074891775,0.307359307,0.228138528,0,0.0995671,0.08961039,0.08008658,0.080519481,0.061471861,0.106493506,0.126406926,0.107359307,0.33982684
ant-1.7,0.282329317,0.721485944,0.512248996,0,0.446586345,0.269477912,0.415461847,0.270682731,0.212851406,0.126305221,0.309839357,0.189759036,0.830321285
arc-1,0.27037037,0.519753086,0.412345679,0,0.238271605,0.177777778,0.133333333,0.167901235,0.148148148,0.108641975,0.514814815,0.165432099,0.566666667
camel-1.6,0.113652482,0.371808511,0.34751773,0,0.131914894,0.088120567,0.166312057,0.086879433,0.071276596,0.068617021,0.186170213,0.129078014,0.492730496
ivy-2.0,0.371666667,0.7675,0.568333333,0,0.555,0.3425,0.2375,0.351666667,0.303333333,0.094166667,0.470833333,0.3025,0.831666667
jedit-4.3,0.466666667,0.63030303,0.436363636,0,0.548484848,0.487878788,0.154545455,0.484848485,0.396969697,0.496969697,0.678787879,0.454545455,0.636363636
log4j-1.1,0.034234234,0.489189189,0.473873874,0,0.196396396,0.059459459,0.08018018,0.056756757,0.044144144,0.412612613,0.501801802,0.121621622,0.68018018
lucene-2.0,0.077655678,0.487179487,0.27985348,0,0.179120879,0.06996337,0.071428571,0.063369963,0.051648352,0.050915751,0.607692308,0.053479853,0.612087912
poi-2.0,0.200900901,0.475675676,0.417117117,0,0.276576577,0.182882883,0.168468468,0.182882883,0.184684685,0.072072072,0.213513514,0.209009009,0.636036036
redaktor-1,0.079012346,0.417283951,0.198765432,0,0.169135802,0.035802469,0.148148148,0.035802469,0.028395062,0.002469136,0.420987654,0,0.503703704
synapse-1.2,0.17248062,0.464341085,0.441860465,0,0.301937984,0.167829457,0.490697674,0.153488372,0.125193798,0.069767442,0.602713178,0.091085271,0.711627907
tomcat-6.0.389418,0.351082251,0.720779221,0.438528139,0,0.528571429,0.331601732,0.216450216,0.342424242,0.274891775,0.607359307,0.334199134,0.308658009,0.817748918
