,BF_RF,BNaive_RF,BTCAplus_RF,BTNB_RF,CFPS_RF,DFAC_RF,DMDA_JFR_RF,EASC_RF,HISNN_RF,HSBF_RF,TCAplus_RF,TNB_RF,WiFLF_RF
ant-1.3,0.041916168,0.213972056,0.204391218,0,0.058083832,0.024151697,0.06007984,0.029540918,0.028343313,0.00738523,0.410379242,0.019760479,0.293612774
arc-1,0.013687601,0.245571659,0.133816425,0,0.030273752,0.010628019,0.052173913,0.009661836,0.010305958,0.023188406,0.509822866,0.033011272,0.224154589
camel-1.0,0.028732106,0.257668712,0.192331288,0,0.024335378,0.016564417,0.056441718,0.017177914,0.021472393,0.003476483,0.673108384,0.046932515,0.280981595
ivy-1.4,0.064888889,0.348,0.183703704,0,0.067851852,0.050518519,0.055407407,0.052148148,0.026666667,0.039259259,0.135555556,0.035851852,0.322518519
jedit-3.2,0.072710623,0.223809524,0.130769231,0,0.070695971,0.06025641,0.097985348,0.05989011,0.043040293,0.006959707,0.854761905,0.046886447,0.291941392
log4j-1.0,0.007920792,0.070957096,0.120132013,0,0.016171617,0.011881188,0.026732673,0.012541254,0.009240924,0.010231023,0.493729373,0.011881188,0.155115512
lucene-2.0,0.013461538,0.20224359,0.084615385,0,0.010897436,0.003525641,0.016346154,0.004166667,0.000641026,0.001282051,0.382051282,0.004166667,0.194551282
poi-2.0,0.022864019,0.434055355,0.088327316,0,0.053188929,0.022864019,0.104211793,0.023586041,0.018170878,0.130685921,0.031407942,0.050421179,0.443561974
redaktor-1,0.115436242,0.551901566,0.173378076,0,0.118344519,0.047203579,0.041834452,0.053243848,0.036017897,0.000447427,0.586800895,0.001565996,0.554362416
synapse-1.0,0.090780142,0.432387707,0.213711584,0,0.116312057,0.046572104,0.052955083,0.041134752,0.037825059,0.004255319,0.466903073,0.034751773,0.495271868
tomcat-6.0.389418,0.078531797,0.261630388,0.166538626,0,0.074647887,0.062825437,0.078574477,0.066965429,0.064148528,0.062398634,0.073111396,0.051173709,0.346948357
velocity-1.6,0.006401766,0.174613687,0.113465784,0,0.026490066,0.006401766,0.026710817,0.005739514,0.003090508,0.033333333,0.025386313,0.006181015,0.196467991
xalan-2.4,0.144589451,0.304132681,0.168134856,0,0.17096248,0.134148994,0.164056552,0.13278956,0.103860794,0.023382273,0.06617727,0.094671017,0.411528004
xerces-init,0.018431373,0.174509804,0.148627451,0,0.041568627,0.04,0.062352941,0.040784314,0.025490196,0.066666667,0.082745098,0.015294118,0.202352941
ant-1.7,0.054807139,0.258721934,0.192112838,0,0.104720783,0.047495682,0.066724237,0.045423143,0.040414508,0.015486471,0.075302245,0.02412205,0.390616005
arc-1,0.041223833,0.185829308,0.103703704,0,0.048148148,0.027375201,0.119645733,0.02689211,0.041223833,0.023188406,0.468921095,0.028985507,0.216425121
