"","OverallRank","models","MedianRank","AverageRank","StandardDeviation"
"1",1,"BTNB",11.0833333333333,11.0833333333333,NA
"2",2,"DMDA.JFR",9.38888888888889,9.38888888888889,NA
"3",3,"HISNN",7.88888888888889,7.88888888888889,NA
"4",4,"DFAC",7.52777777777778,7.52777777777778,NA
"5",5,"TCAplus,EASC",7.04166666666667,7.04166666666667,0.176776695296637
"6",6,"TNB,HSBF",6.125,6.125,0.0982092751647985
"7",7,"CFPS,BF",5.79166666666667,5.79166666666667,0.0196418550329596
"8",8,"BNaive",3.41666666666667,3.41666666666667,NA
"9",9,"BTCAplus",2.38888888888889,2.38888888888889,NA
"10",10,"WiFLF",1.86111111111111,1.86111111111111,NA
