,BF_LR-p,BF_LR-d,BF_LR-esl,BNaive_LR-p,BNaive_LR-d,BNaive_LR-esl,BTCAplus_LR-p,BTCAplus_LR-d,BTCAplus_LR-esl,BTNB_LR-p,BTNB_LR-d,BTNB_LR-esl,CFPS_LR-p,CFPS_LR-d,CFPS_LR-esl,DFAC_LR-p,DFAC_LR-d,DFAC_LR-esl,DMDA-JFR_LR-p,DMDA-JFR_LR-d,DMDA-JFR_LR-esl,EASC_LR-p,EASC_LR-d,EASC_LR-esl,HISNN_LR-p,HISNN_LR-d,HISNN_LR-esl,HSBF_LR-p,HSBF_LR-d,HSBF_LR-esl,TCAplus_LR-p,TCAplus_LR-d,TCAplus_LR-esl,TNB_LR-p,TNB_LR-d,TNB_LR-esl
ant-1.3,0,6.52,L,0,-2.85,L,0,-2.19,L,0,59.47,L,0,8.87,L,0,16.75,L,0,5.79,L,0,13.84,L,0,14.66,L,0,59.47,L,0,15.84,L,0,8.8,L
arc-1,0,6.41,L,0,1.11,L,0.12,0.46,S,0,67.79,L,0,12.55,L,0,14.11,L,0,5.36,L,0,15.28,L,0,9.22,L,0,47.37,L,0,29.39,L,0,6.67,L
camel-1.0,0,20.75,L,0,2.82,L,0,1.36,L,0,49.05,L,0,29.64,L,0,49.05,L,0,10.94,L,0,49.05,L,0,12.37,L,0,49.05,L,0,39.31,L,0,6.29,L
ivy-1.4,0,13.36,L,0,2.46,L,0,-2.48,L,0,42.35,L,0,5.85,L,0,21.49,L,0,8.84,L,0,25.68,L,0,13.67,L,0,21.58,L,0,8.08,L,0,9.98,L
jedit-3.2,0,12.01,L,0,2.17,L,0.03,0.62,M,0,31.81,L,0,13.51,L,0,17.22,L,0,7.5,L,0,16.56,L,0,19.69,L,0,28.55,L,0,11.19,L,0,5.34,L
log4j-1.0,0,7.22,L,0,1.85,L,0,-1.24,L,0,27.11,L,0,16.45,L,0,19.95,L,0,16.77,L,0,23.08,L,0,19.37,L,0,20.77,L,0,16.42,L,0,10.71,L
lucene-2.0,0,19.36,L,0,-0.82,L,0,-1.69,L,0,31.82,L,0,25.18,L,0,24.81,L,0,17.72,L,0,24.81,L,0,23.45,L,0,29.67,L,0,7.93,L,0,23.53,L
poi-2.0,0,6.47,L,0,-2.19,L,0,-7.76,L,0,29.61,L,0,6.98,L,0,6.99,L,0,3.01,L,0,7.34,L,0,7.42,L,0.06,-0.52,M,0,8.08,L,0,1.56,L
redaktor-1,0,4.39,L,0.72,0.24,S,0,-1.24,L,0,22.15,L,0,22.15,L,0,22.15,L,0,4.99,L,0,22.15,L,0,22.15,L,0,15.57,L,0,1.34,L,0,10.95,L
synapse-1.0,0,2.15,L,0,-2.14,L,0,-12.46,L,0,20.43,L,0,1.18,L,0,7.87,L,0,7.3,L,0,8.87,L,0,2.47,L,0,-12,L,0,11.29,L,0,1.54,L
