,BF_NB-p,BF_NB-d,BF_NB-esl,BNaive_NB-p,BNaive_NB-d,BNaive_NB-esl,BTCAplus_NB-p,BTCAplus_NB-d,BTCAplus_NB-esl,BTNB_NB-p,BTNB_NB-d,BTNB_NB-esl,CFPS_NB-p,CFPS_NB-d,CFPS_NB-esl,DFAC_NB-p,DFAC_NB-d,DFAC_NB-esl,DMDA-JFR_NB-p,DMDA-JFR_NB-d,DMDA-JFR_NB-esl,EASC_NB-p,EASC_NB-d,EASC_NB-esl,HISNN_NB-p,HISNN_NB-d,HISNN_NB-esl,HSBF_NB-p,HSBF_NB-d,HSBF_NB-esl,TCAplus_NB-p,TCAplus_NB-d,TCAplus_NB-esl,TNB_NB-p,TNB_NB-d,TNB_NB-esl
ant-1.3,0,59.84,L,0,-4.07,L,0.06,0.59,M,0,59.84,L,0,18.57,L,0,21.22,L,0,3.25,L,0,33.26,L,0,17.11,L,0,14.22,L,0,6.99,L,0,8.95,L
arc-1,0,16.97,L,0.05,0.67,M,0,4.26,L,0,92.26,L,0,15.98,L,0,47.72,L,0,6.4,L,0,28.98,L,0,17.46,L,0,40.45,L,0,6.24,L,0,6.31,L
camel-1.0,0,10.47,L,0.07,0.46,S,0,1.68,L,0,22.45,L,0,4.97,L,0,5.32,L,0,2.28,L,0,5.94,L,0,4.54,L,0,10.35,L,0,22.45,L,0,5.6,L
ivy-1.4,0,22.5,L,0.01,-0.86,L,0,-3.37,L,0,34.82,L,0,2.16,L,0,3.78,L,0,1.46,L,0,3.45,L,0,5.38,L,0,4.57,L,0,-0.19,N,0,9.33,L
jedit-3.2,0,30.4,L,0,-0.7,M,0,-2.04,L,0,39.6,L,0,13.03,L,0,16.05,L,0,-0.94,L,0,15.38,L,0,18.05,L,0,12.7,L,0,39.6,L,0,5.86,L
log4j-1.0,0,29.61,L,0,4.51,L,0,0.86,L,0,35.98,L,0,22.56,L,0,26.92,L,0,6.54,L,0,22.82,L,0,22.28,L,0,28.2,L,0,21.94,L,0,12.3,L
lucene-2.0,0,21.35,L,0,0.85,L,0,-1.85,L,0,31.97,L,0,22.79,L,0,22.97,L,0,4.37,L,0,22.52,L,0,23.85,L,0,7.91,L,0,3.02,L,0,23.9,L
poi-2.0,0,43.06,L,0,-3.19,L,0,-0.81,L,0,48.12,L,0,8.69,L,0,13.09,L,0.01,0.83,L,0,12.19,L,0,11.24,L,0,-2.54,L,0,-3.73,L,0,3.29,L
redaktor-1,0,8.66,L,0,-2.59,L,0.01,0.72,M,0,16.96,L,0,9.67,L,0,9.77,L,0,-4.97,L,0,11.78,L,0,8.96,L,0,2.97,L,0,11.38,L,0,9.82,L
synapse-1.0,0,11.09,L,0,-4.71,L,0,-5.26,L,0,24.76,L,0.02,0.63,M,0,1.48,L,0,-2.23,L,0,1.06,L,0,1.72,L,0,-3.77,L,0,9.51,L,0,2.86,L
