,BF_RF-p,BF_RF-d,BF_RF-esl,BNaive_RF-p,BNaive_RF-d,BNaive_RF-esl,BTCAplus_RF-p,BTCAplus_RF-d,BTCAplus_RF-esl,BTNB_RF-p,BTNB_RF-d,BTNB_RF-esl,CFPS_RF-p,CFPS_RF-d,CFPS_RF-esl,DFAC_RF-p,DFAC_RF-d,DFAC_RF-esl,DMDA-JRF_RF-p,DMDA-JRF_RF-d,DMDA-JRF_RF-esl,EASC_RF-p,EASC_RF-d,EASC_RF-esl,HISNN_RF-p,HISNN_RF-d,HISNN_RF-esl,HSBF_RF-p,HSBF_RF-d,HSBF_RF-esl,TCAplus_RF-p,TCAplus_RF-d,TCAplus_RF-esl,TNB_RF-p,TNB_RF-d,TNB_RF-esl
ant-1.3,0,9.4,L,0.08,-0.26,S,0,1.69,L,0,76.67,L,0,3.55,L,0,8.31,L,0,9.03,L,0,7.68,L,0,9.36,L,0,10.41,L,0,5.6,L,0,9.81,L
arc-1,0,7.53,L,0,-0.97,L,0,1.56,L,0,37.51,L,0,4.53,L,0,9.16,L,0,9,L,0,10.63,L,0,8.19,L,0,9.7,L,0,2.64,L,0,5.8,L
camel-1.0,0,5.99,L,0.01,-0.76,M,0,0.59,M,0,13.52,L,0,3.98,L,0,6.21,L,0,6.05,L,0,5.49,L,0,6.1,L,0,10.95,L,0,2.62,L,0,3.88,L
ivy-1.4,0,5.04,L,0,1.3,L,0,1.1,L,0,46.34,L,0,4,L,0,6.68,L,0,4.74,L,0,5.84,L,0,8.21,L,0,5.96,L,0,3.79,L,0,11.03,L
jedit-3.2,0,9.14,L,0.27,0.3,S,0,7.34,L,0,59.95,L,0,10.76,L,0,15.71,L,0,7.86,L,0,14.1,L,0,19.63,L,0,25.67,L,0,9.11,L,0,7.63,L
log4j-1.0,0,10.68,L,0,2.63,L,0,3.02,L,0,27.75,L,0,10.44,L,0,10.96,L,0,9.62,L,0,10.37,L,0,14.71,L,0,10.05,L,0,2.84,L,0,11.08,L
lucene-2.0,0,21.14,L,0,-1.39,L,0,10.09,L,0,38.84,L,0,17.6,L,0,26.47,L,0,7.33,L,0,24.23,L,0,32.06,L,0,24.23,L,0.05,0.71,M,0,26.84,L
poi-2.0,0,8.81,L,0.09,0.4,S,0,3.76,L,0,26.02,L,0,8.04,L,0,8.74,L,0,6.43,L,0,9.09,L,0,11.09,L,0,1.45,L,0,6.16,L,0,5.09,L
redaktor-1,0,4.53,L,0,1.11,L,0,8.07,L,0,36.99,L,0,7.49,L,0,15.15,L,0,5.54,L,0,11.53,L,0,11.58,L,0,15.4,L,0,1.79,L,0,12.26,L
synapse-1.0,0.03,0.71,M,0.04,-0.59,M,0.01,-0.66,M,0,26.16,L,0.03,0.72,M,0,4.93,L,0,3.91,L,0,3.54,L,0,3.48,L,0,10.23,L,0,1.05,L,0,3.91,L
tomcat-6.0.389418,0,17.04,L,0,-1.29,L,0,2.88,L,0,57.37,L,0,8.42,L,0,16.89,L,0,11.12,L,0,16.25,L,0,15.77,L,0,3.04,L,0,5.33,L,0,4.4,L
velocity-1.6,0,25.67,L,0,1.39,L,0,6.87,L,0,46.03,L,0,25.19,L,0,23.54,L,0,8.61,L,0,24.98,L,0,23.38,L,0,24.11,L,0,18.03,L,0,27.67,L
xalan-2.4,0,6.69,L,0,-1.43,L,0,4.5,L,0,49.67,L,0,5.89,L,0,6.52,L,0,4.15,L,0,7.23,L,0,10.97,L,0,27.42,L,0,12.17,L,0,5.97,L
xerces-init,0,12.11,L,0,1.51,L,0,4.85,L,0,38.83,L,0,10.29,L,0,11.14,L,0,7.73,L,0,11.44,L,0,12.34,L,0,9.95,L,0,10.68,L,0,13.79,L
ant-1.7,0,13.35,L,0,-2.05,L,0,5.18,L,0,85.58,L,0,6.23,L,0,13.15,L,0,3.01,L,0,11.75,L,0,16.17,L,0,21.3,L,0,10.57,L,0,14.27,L
arc-1,0,3.89,L,0,1.01,L,0,3.23,L,0,45.03,L,0,5.92,L,0,7.36,L,0,6.03,L,0,8.26,L,0,7.47,L,0,10.45,L,0,3.63,L,0,11.92,L
camel-1.6,0,20.85,L,0,3.24,L,0,5.24,L,0,61.56,L,0,14.79,L,0,22.49,L,0,3.57,L,0,19.96,L,0,24.91,L,0,28.2,L,0,15.16,L,0,18.97,L
ivy-2.0,0,7.81,L,0.01,-0.81,L,0,2.95,L,0,88.53,L,0,2.09,L,0,9.33,L,0,4.7,L,0,7.07,L,0,10.49,L,0,16.13,L,0,4.29,L,0,9.29,L
jedit-4.3,0,-3.18,L,0,-7.57,L,0.21,-0.5,M,0,57.26,L,0,-2.87,L,0,-3.2,L,0,2.03,L,0,-2.63,L,0.19,-0.27,S,0,-3.33,L,0,1.94,L,0,-9.21,L
log4j-1.1,0,17.86,L,0,2.75,L,0,5.2,L,0,58.51,L,0,8.86,L,0,15.29,L,0,7.91,L,0,12.98,L,0,16.82,L,0,6.98,L,0,4.53,L,0,14.83,L
lucene-2.0,0,20.67,L,0,2.73,L,0,9.96,L,0,43.95,L,0,10.81,L,0,22.48,L,0,8.6,L,0,29.7,L,0,24.92,L,0,22.11,L,0,1.95,L,0,29.86,L
poi-2.0,0,4.97,L,0.63,-0.02,N,0,1.14,L,0,17.64,L,0,3.02,L,0,6.67,L,0,3.56,L,0,5.88,L,0,5.83,L,0,11.51,L,0,4.01,L,0,6.15,L
redaktor-1,0,5.69,L,0.24,-0.26,S,0,2.68,L,0,41.33,L,0,4.03,L,0,8.98,L,0,3.45,L,0,10.63,L,0,12.97,L,0,27.53,L,0,1.88,L,0,41.33,L
synapse-1.2,0,9.52,L,0,2.02,L,0,3.57,L,0,44.03,L,0,8.37,L,0,13.18,L,0,1.86,L,0,10.7,L,0,15.72,L,0,15.53,L,0,3.72,L,0,25.74,L
tomcat-6.0.389418,0,6.22,L,0.11,-0.22,S,0,6.59,L,0,77.08,L,0,2.88,L,0,6.34,L,0,7.69,L,0,6.67,L,0,7.51,L,0,1.04,L,0,7.38,L,0,8.2,L
velocity-1.6,0,15.71,L,0,4.32,L,0,4.39,L,0,65.18,L,0,11.9,L,0,13.17,L,0,7.19,L,0,15,L,0,17.24,L,0,31.63,L,0,13.74,L,0,39.47,L
xalan-2.6,0,6.54,L,0.57,0.1,N,0,15.37,L,0,126.55,L,0,5.82,L,0,13.57,L,0,4.68,L,0,16.12,L,0,16.15,L,0,32.49,L,0,19.4,L,0,18.41,L
xerces-1.3,0,6.19,L,0,2.34,L,0,3.48,L,0,26.78,L,0,3.15,L,0,6.16,L,0,7,L,0,6.59,L,0,7.92,L,0,10.89,L,0,4.92,L,0,10.72,L
EQ,0,38.59,L,0,13.91,L,0,12.55,L,0,106.25,L,0,30.08,L,0,21.77,L,0,10.2,L,0,29.21,L,0,29.38,L,0,17.3,L,0,5.73,L,0,20.81,L
JDT,0,2.62,L,0,1.65,L,0.5,-0.01,N,0,69.72,L,0.67,0.32,S,0,3.27,L,0,3.55,L,0,3.26,L,0,9.99,L,0,11.01,L,0,59.34,L,0.03,0.51,M
LC,0,14.52,L,0.77,0.15,N,0,5.04,L,0,104.46,L,0,7.05,L,0,13.92,L,0,5.98,L,0,14.76,L,0,19.08,L,0.89,0.02,N,0,8.85,L,0,26.02,L
ML,0,16.96,L,0,3.89,L,0,2.75,L,0,84.91,L,0,12.9,L,0,15.59,L,0,3.74,L,0,13.55,L,0,28.92,L,0,7.23,L,0,5.95,L,0,15.66,L
PDE,0,10.38,L,0.67,0.07,N,0,-1.43,L,0,140.1,L,0,6.71,L,0,11.37,L,0,13.44,L,0,8.75,L,0,15.45,L,0,9.03,L,0,4.44,L,0,11.17,L
Apache,0,-6.43,L,0.01,-0.68,M,0,-3.76,L,0,-3.83,L,0,-0.82,L,0,-7.07,L,0.07,0.57,M,0,-6.99,L,0,-6.48,L,0,-1.13,L,0,3.24,L,0,-1.98,L
Safe,0,2.42,L,0,1.46,L,0,1.42,L,0,32.91,L,0,4.59,L,0,2.36,L,0,2.66,L,0,2.41,L,0,3.77,L,0,1.36,L,0,4.05,L,0,1.24,L
Zxing,0,0.82,L,0,1.75,L,0.12,-0.49,S,0,6.75,L,0,3.66,L,0,1.4,L,0.14,0.28,S,0,1.36,L,0,1.52,L,0.01,0.71,M,0,6.61,L,0,3.37,L
