,BF_LR-p,BF_LR-d,BF_LR-esl,BNaive_LR-p,BNaive_LR-d,BNaive_LR-esl,BTCAplus_LR-p,BTCAplus_LR-d,BTCAplus_LR-esl,BTNB_LR-p,BTNB_LR-d,BTNB_LR-esl,CFPS_LR-p,CFPS_LR-d,CFPS_LR-esl,DFAC_LR-p,DFAC_LR-d,DFAC_LR-esl,DMDA-JFR_LR-p,DMDA-JFR_LR-d,DMDA-JFR_LR-esl,EASC_LR-p,EASC_LR-d,EASC_LR-esl,HISNN_LR-p,HISNN_LR-d,HISNN_LR-esl,HSBF_LR-p,HSBF_LR-d,HSBF_LR-esl,TCAplus_LR-p,TCAplus_LR-d,TCAplus_LR-esl,TNB_LR-p,TNB_LR-d,TNB_LR-esl
ant-1.3,0,6.58,L,0,-2.12,L,0,-2.19,L,0,50.68,L,0,7.98,L,0,15.95,L,0,6.63,L,0,13.58,L,0,15.01,L,0,50.68,L,0,15.31,L,0,9.78,L
arc-1,0,6.2,L,0,1.18,L,0,1.14,L,0,34.66,L,0,10.48,L,0,12.72,L,0,5.8,L,0,13.5,L,0,8.72,L,0,24.88,L,0,21.5,L,0,6.22,L
camel-1.0,0,11.59,L,0,2.91,L,0,2.08,L,0,22.34,L,0,16.78,L,0,22.34,L,0,7.25,L,0,22.34,L,0,7.35,L,0,22.34,L,0,19.92,L,0,2.69,L
ivy-1.4,0,5.16,L,0,2.95,L,0,-2.15,L,0,24.16,L,0,4.16,L,0,14.15,L,0,7.26,L,0,15.9,L,0,10.02,L,0,9.48,L,0,5.4,L,0,7.72,L
jedit-3.2,0,12.61,L,0,4.64,L,0,4.72,L,0,20.04,L,0,13.74,L,0,15.39,L,0,10.8,L,0,15.22,L,0,16.71,L,0,18.86,L,0,-0.46,S,0,8.31,L
log4j-1.0,0,10.98,L,0,4.9,L,0,1.88,L,0,30.23,L,0,21.84,L,0,25.25,L,0,22.38,L,0,27.48,L,0,24.68,L,0,25.53,L,0,21.37,L,0,15.48,L
lucene-2.0,0,18.51,L,0,1.63,L,0,2.61,L,0,22.28,L,0,19.79,L,0,19.59,L,0,18.08,L,0,19.59,L,0,20.21,L,0,21.4,L,0,9.52,L,0,19.68,L
poi-2.0,0,14.12,L,0.12,0.44,S,0.52,-0.2,S,0,38.21,L,0,11.76,L,0,12.73,L,0,5.06,L,0,13.65,L,0,12.17,L,0,7.32,L,0,10.83,L,0,4.64,L
redaktor-1,0,4.61,L,0.03,-0.56,M,0,2.03,L,0,8.25,L,0,8.25,L,0,8.25,L,0,5.26,L,0,8.25,L,0,8.25,L,0,6.62,L,0,2.92,L,0,7.23,L
synapse-1.0,0,3.52,L,0,-0.89,L,0,-13.43,L,0,46.69,L,0,3.6,L,0,16.2,L,0,11.27,L,0,19.64,L,0,4.58,L,0,-9.3,L,0,37.81,L,0,3.18,L
