,BF_NB-p,BF_NB-d,BF_NB-esl,BNaive_NB-p,BNaive_NB-d,BNaive_NB-esl,BTCAplus_NB-p,BTCAplus_NB-d,BTCAplus_NB-esl,BTNB_NB-p,BTNB_NB-d,BTNB_NB-esl,CFPS_NB-p,CFPS_NB-d,CFPS_NB-esl,DFAC_NB-p,DFAC_NB-d,DFAC_NB-esl,DMDA-JFR_NB-p,DMDA-JFR_NB-d,DMDA-JFR_NB-esl,EASC_NB-p,EASC_NB-d,EASC_NB-esl,HISNN_NB-p,HISNN_NB-d,HISNN_NB-esl,HSBF_NB-p,HSBF_NB-d,HSBF_NB-esl,TCAplus_NB-p,TCAplus_NB-d,TCAplus_NB-esl,TNB_NB-p,TNB_NB-d,TNB_NB-esl
ant-1.3,0,50.93,L,0,-4.01,L,0,1.55,L,0,50.93,L,0,18.3,L,0,21.5,L,0,4.22,L,0,30.61,L,0,17.32,L,0,19.06,L,0,6.93,L,0,9.94,L
arc-1,0,24.23,L,0.21,0.36,S,0,4.27,L,0,52.52,L,0,13.25,L,0,27.93,L,0,6.17,L,0,21.53,L,0,14.71,L,0,23.02,L,0,6.28,L,0,5.6,L
camel-1.0,0,4.08,L,0.13,-0.45,S,0,1.82,L,0,11.86,L,0.38,-0.29,S,0,-0.98,L,0,1.7,L,0,-1.26,L,0.33,0.33,S,0,2.32,L,0,11.86,L,0,1.97,L
ivy-1.4,0,11.54,L,0,-1.29,L,0,-3.26,L,0,19.1,L,0.48,0.21,S,0,1.67,L,0.01,0.79,M,0,1.33,L,0,2.16,L,0,-3.19,L,0,-1.89,L,0,6.66,L
jedit-3.2,0,15.15,L,0,1.03,L,0,1.01,L,0,15.66,L,0,8.86,L,0,9.27,L,0.37,0.07,N,0,9.05,L,0,10.69,L,0,7.81,L,0,-1.79,L,0,6.61,L
log4j-1.0,0,23.05,L,0,4.8,L,0.29,0.24,S,0,24.19,L,0,18.6,L,0,19.94,L,0,8,L,0,18.71,L,0,19.64,L,0,20.31,L,0,19.87,L,0,13.68,L
lucene-2.0,0,17.35,L,0,2.22,L,0.42,0.23,S,0,20.45,L,0,16.83,L,0,16.88,L,0,5.52,L,0,16.7,L,0,17.95,L,0,8.06,L,0,3.32,L,0,18.02,L
poi-2.0,0,50.84,L,0.01,0.91,L,0,6.07,L,0,55.07,L,0,14.71,L,0,21.29,L,0,6.84,L,0,20.12,L,0,16.42,L,0,6.8,L,0.86,0.12,N,0,5.53,L
redaktor-1,0,-1.09,L,0.48,0.22,S,0,3.37,L,0,8.44,L,0,6.55,L,0,6.97,L,0.14,-0.54,M,0,6.83,L,0,6.9,L,0,4.5,L,0,7.95,L,0,7.47,L
synapse-1.0,0,16.38,L,0,-2.63,L,0,-5.51,L,0,45.29,L,0,1.23,L,0,2.44,L,0.52,-0.15,N,0,1.83,L,0,2.33,L,0,-6.35,L,0,12.5,L,0,3.66,L
tomcat-6.0.389418,0,7.29,L,0,-3.15,L,0,-7.32,L,0,93.94,L,0,3.29,L,0,6.93,L,0.73,0.16,N,0,5.79,L,0,2.27,L,0,6.2,L,0,-3.09,L,0,2.75,L
velocity-1.6,0,24.61,L,0,3.73,L,0,3.18,L,0,33.37,L,0,20.96,L,0,21.72,L,0,11.34,L,0,20.58,L,0,22.76,L,0,21.92,L,0.93,-0.01,N,0,25.71,L
xalan-2.4,0,64.13,L,0.03,-0.56,M,0,-0.91,L,0,67.91,L,0,6.78,L,0,7.88,L,0,7.51,L,0,8.78,L,0,14.96,L,0,28.51,L,0.04,0.62,M,0,7.45,L
xerces-init,0,14.51,L,0,2.4,L,0,3.59,L,0,33.05,L,0,13.67,L,0,12.57,L,0,7.82,L,0,12.61,L,0,16.35,L,0,15.36,L,0,0.4,S,0,16.58,L
ant-1.7,0,121.24,L,0,3.74,L,0,3.4,L,0,121.24,L,0,18.1,L,0,33.33,L,0,2.19,L,0,36.99,L,0,35.17,L,0,52.58,L,0,2.25,L,0,21.11,L
arc-1,0,15.38,L,0.36,-0.13,N,0,4.9,L,0,69.94,L,0,8.31,L,0,13.4,L,0,5.31,L,0,14.11,L,0,16.79,L,0,29.81,L,0,41.5,L,0,10.95,L
camel-1.6,0,16.19,L,0,4.46,L,0.02,-0.73,M,0,20.22,L,0,12.21,L,0,13.43,L,0,5.21,L,0,13.35,L,0,15.34,L,0,9.63,L,0,-1.62,L,0,11.31,L
ivy-2.0,0,51.67,L,0.18,-0.44,S,0.88,0.09,N,0,59.11,L,0,11.99,L,0,10.19,L,0,5.89,L,0,10.54,L,0,11.25,L,0,12.55,L,0,1.11,L,0,7.87,L
jedit-4.3,0,-24.28,L,0,-10.3,L,0,-15.45,L,0,84.95,L,0,-34.09,L,0,-45.35,L,0,3.69,L,0,-38.51,L,0,-7.52,L,0,-50.39,L,0.32,0.24,S,0,-14.11,L
log4j-1.1,0,44.21,L,0,3.51,L,0.63,-0.12,N,0,56.15,L,0,29.11,L,0,33.2,L,0,20.89,L,0,31.55,L,0,40.1,L,0,31.1,L,0,53.44,L,0,19.3,L
lucene-2.0,0,35.2,L,0,3.95,L,0,2.48,L,0,41.17,L,0,32.29,L,0,33.99,L,0,11.44,L,0,33.77,L,0,32.24,L,0,33.42,L,0,5.51,L,0,34.04,L
poi-2.0,0,81.27,L,0.01,0.73,M,0,6.12,L,0,88.06,L,0,13.84,L,0,15.59,L,0,6.86,L,0,15.73,L,0,10.9,L,0,-13.94,L,0,1.14,L,0,15.78,L
