,BF_RF-p,BF_RF-d,BF_RF-esl,BNaive_RF-p,BNaive_RF-d,BNaive_RF-esl,BTCAplus_RF-p,BTCAplus_RF-d,BTCAplus_RF-esl,BTNB_RF-p,BTNB_RF-d,BTNB_RF-esl,CFPS_RF-p,CFPS_RF-d,CFPS_RF-esl,DFAC_RF-p,DFAC_RF-d,DFAC_RF-esl,DMDA-JRF_RF-p,DMDA-JRF_RF-d,DMDA-JRF_RF-esl,EASC_RF-p,EASC_RF-d,EASC_RF-esl,HISNN_RF-p,HISNN_RF-d,HISNN_RF-esl,HSBF_RF-p,HSBF_RF-d,HSBF_RF-esl,TCAplus_RF-p,TCAplus_RF-d,TCAplus_RF-esl,TNB_RF-p,TNB_RF-d,TNB_RF-esl
ant-1.3,0,10.21,L,0.4,-0.05,N,0,1.92,L,0,53.27,L,0,3.44,L,0,8.48,L,0,11.75,L,0,8.5,L,0,10.55,L,0,10.99,L,0,6.78,L,0,11.01,L
arc-1,0,7.27,L,0,-0.91,L,0.04,0.6,M,0,24.35,L,0,4.08,L,0,8.89,L,0,9.35,L,0,10.23,L,0,7.88,L,0,8.82,L,0,2.41,L,0,4.97,L
camel-1.0,0,3.09,L,0,-1.05,L,0.32,-0.23,S,0,8.67,L,0,0.92,L,0,3.37,L,0,4.56,L,0,2.85,L,0,2.9,L,0,6.69,L,0,2.79,L,0,0.96,L
ivy-1.4,0,3.3,L,0,1.3,L,0.67,-0.21,S,0,24.55,L,0,2.54,L,0,4.32,L,0,4.15,L,0,3.93,L,0,5.02,L,0,2.23,L,0,3.29,L,0,8.9,L
jedit-3.2,0,12.19,L,0,1.67,L,0,9.5,L,0,44.07,L,0,13.88,L,0,19.43,L,0,10.38,L,0,17.96,L,0,23.44,L,0,29.15,L,0.11,0.04,N,0,10.23,L
log4j-1.0,0,10.92,L,0,2.81,L,0,2.98,L,0,18.19,L,0,10.02,L,0,10.85,L,0,10.52,L,0,10.51,L,0,13.71,L,0,10.23,L,0,1.31,L,0,11.24,L
lucene-2.0,0,19.93,L,0,-1.38,L,0,10.28,L,0,25.37,L,0,17.46,L,0,21.98,L,0,8.45,L,0,21.21,L,0,23.59,L,0,21.22,L,0.06,-0.2,N,0,21.1,L
poi-2.0,0,7.97,L,0.01,0.62,M,0,2.7,L,0,20.66,L,0,7.26,L,0,7.82,L,0,7.4,L,0,8.22,L,0,10.02,L,0,1.11,L,0,5.36,L,0,4.41,L
redaktor-1,0,5.38,L,0,1.29,L,0,9.23,L,0,24.72,L,0,8.96,L,0,15.11,L,0,6.1,L,0,12.2,L,0,12.05,L,0,14.68,L,0,0.85,L,0,12.18,L
synapse-1.0,0,1.14,L,0.06,0.46,S,0,1.07,L,0,31.86,L,0,1.32,L,0,5.84,L,0,4.98,L,0,4.18,L,0,3.81,L,0,11.95,L,0,2.03,L,0,4.52,L
tomcat-6.0.389418,0,16.93,L,0,-1.24,L,0,2.59,L,0,35.16,L,0,8.5,L,0,15.99,L,0,12.49,L,0,15.87,L,0,15.41,L,0,1.96,L,0,3.67,L,0,2.97,L
velocity-1.6,0,23.31,L,0,1.41,L,0,7.4,L,0,30.68,L,0,22.64,L,0,22.18,L,0,10.07,L,0,22.87,L,0,22.09,L,0,22.31,L,0,18.35,L,0,23.95,L
xalan-2.4,0,10.2,L,0,0.86,L,0,8.19,L,0,59.33,L,0,9.79,L,0,10.18,L,0,5.84,L,0,11.13,L,0,15.76,L,0,35.81,L,0,16.34,L,0,9.1,L
xerces-init,0,12.8,L,0,1.56,L,0,5.05,L,0,28.04,L,0,11.03,L,0,11.89,L,0,8.79,L,0,12.21,L,0,13.23,L,0,10.64,L,0,4.78,L,0,13.61,L
ant-1.7,0,19.15,L,0,1.5,L,0,10.56,L,0,72.08,L,0,11.27,L,0,18.96,L,0,5.22,L,0,17.14,L,0,22.29,L,0,28.97,L,0,16.07,L,0,20.04,L
arc-1,0,3.22,L,0.01,0.71,M,0,2.1,L,0,28.58,L,0,5.07,L,0,6.4,L,0,7.12,L,0,7.46,L,0,6.97,L,0,9.89,L,0,3.5,L,0,10.2,L
camel-1.6,0,19.44,L,0,3.52,L,0,5.34,L,0,37.85,L,0,14.9,L,0,20.88,L,0,4.18,L,0,19.45,L,0,22.9,L,0,24.35,L,0,14.46,L,0,17.54,L
ivy-2.0,0,7.3,L,0.19,-0.32,S,0,3.06,L,0,58.24,L,0,1.83,L,0,8.79,L,0,6.4,L,0,6.46,L,0,9.58,L,0,17.9,L,0,3.51,L,0,8.81,L
jedit-4.3,0,-4.68,L,0,-5.73,L,0,-0.97,L,0,52.79,L,0,-3.67,L,0,-5.73,L,0,1.76,L,0,-4.3,L,0,-2.42,L,0,-5.33,L,0,1.39,L,0,-13.36,L
log4j-1.1,0,21.56,L,0,3.1,L,0,5.67,L,0,39.48,L,0,11.03,L,0,18.95,L,0,9.63,L,0,16.29,L,0,20.54,L,0,7.09,L,0,3.51,L,0,17.54,L
lucene-2.0,0,20.35,L,0,3.67,L,0,10.81,L,0,28.75,L,0,12.67,L,0,21.38,L,0,11.02,L,0,23.89,L,0,22.78,L,0,21.76,L,0.25,0.41,S,0,24.22,L
poi-2.0,0,5.02,L,0,1.15,L,0,2.54,L,0,16.99,L,0,2.86,L,0,6.59,L,0,4.4,L,0,5.67,L,0,5.56,L,0,11.39,L,0,4.34,L,0,6.62,L
redaktor-1,0,6.55,L,0.02,0.61,M,0,3.17,L,0,18.99,L,0,4.69,L,0,9.23,L,0,4.07,L,0,10.44,L,0,11.96,L,0,17.22,L,0,0.99,L,0,18.99,L
synapse-1.2,0,12.53,L,0,4,L,0,6.41,L,0,29.32,L,0,10.88,L,0,15.5,L,0,1.45,L,0,13.85,L,0,17.86,L,0,18.36,L,0,2.56,L,0,22.73,L
tomcat-6.0.389418,0,5.82,L,0.15,-0.18,N,0,6.78,L,0,59.52,L,0,1.96,L,0,6.13,L,0,10.55,L,0,5.93,L,0,6.71,L,0,-1.06,L,0,7.78,L,0,6.87,L
velocity-1.6,0,17.5,L,0,4.96,L,0,4.88,L,0,41.21,L,0,13.43,L,0,15.54,L,0,8.89,L,0,17.44,L,0,19.28,L,0,31.21,L,0,15.81,L,0,33.09,L
xalan-2.6,0,8.29,L,0.25,0.26,S,0,16.8,L,0,58.78,L,0,7.41,L,0,16.62,L,0,5.51,L,0,19.33,L,0,19.65,L,0,34.92,L,0,23.35,L,0,20.76,L
xerces-1.3,0,5.04,L,0,2.23,L,0,2.96,L,0,17.26,L,0,2.6,L,0,4.83,L,0,7.18,L,0,5.06,L,0,6.27,L,0,9.23,L,0,4.03,L,0,7.46,L
EQ,0,38.18,L,0,17.29,L,0,15.15,L,0,61.67,L,0,33.1,L,0,26.36,L,0,12.52,L,0,32.13,L,0,33.85,L,0,22.23,L,0,7.9,L,0,23.85,L
JDT,0,7.76,L,0,2.56,L,0,3.74,L,0,125.95,L,0,2.09,L,0,7.41,L,0,5.32,L,0,7.8,L,0,16.82,L,0,4.22,L,0,102.11,L,0,10.2,L
LC,0,10.78,L,0.32,-0.24,S,0,1.82,L,0,57.58,L,0,5.45,L,0,10.44,L,0,6.43,L,0,10.84,L,0,16.48,L,0,-0.83,L,0,9.18,L,0,14.88,L
ML,0,14.25,L,0,3.67,L,0,2.87,L,0,53.98,L,0,11.27,L,0,13.54,L,0,4.29,L,0,11.96,L,0,23.89,L,0,4.53,L,0,5.61,L,0,12.53,L
PDE,0,14.99,L,0,2.84,L,0,5.61,L,0,110.56,L,0,10.56,L,0,15.7,L,0,21.12,L,0,12.24,L,0,20.26,L,0,3.78,L,0,7.51,L,0,18.27,L
Apache,0,6.46,L,0,2.85,L,0,3.66,L,0,15.77,L,0,2.87,L,0,4.65,L,0,7.09,L,0,6.03,L,0,4.33,L,0,4.35,L,0,6.14,L,0,0.75,M
Safe,0,5.53,L,0,3.46,L,0,2.77,L,0,41.54,L,0,8.94,L,0,6.21,L,0,5.12,L,0,6.67,L,0,8.16,L,0,4.09,L,0,4.68,L,0,4.79,L
Zxing,0,0.94,L,0,1.79,L,0.07,-0.57,M,0,5.55,L,0,3.42,L,0,1.48,L,0.73,0.07,N,0,1.44,L,0,1.6,L,0,0.83,L,0,-5.08,L,0,3.15,L
