,BF_LR_mean,BF_LR_std,BNaive_LR_mean,BNaive_LR_std,BTCAplus_LR_mean,BTCAplus_LR_std,BTNB_LR_mean,BTNB_LR_std,CFPS_LR_mean,CFPS_LR_std,DFAC_LR_mean,DFAC_LR_std,DMDA_JFR_LR_mean,DMDA_JFR_LR_std,EASC_LR_mean,EASC_LR_std,HISNN_LR_mean,HISNN_LR_std,HSBF_LR_mean,HSBF_LR_std,TCAplus_LR_mean,TCAplus_LR_std,TNB_LR_mean,TNB_LR_std,WiFLF_LR_mean,WiFLF_LR_std
ant-1.3,38.75,0.07,79.8,0.02,76.59,0.01,0,0,44.48,0.04,27,0.04,25.42,0.12,28.44,0.04,28.43,0.04,0,0,16.93,0.05,23.64,0.08,73.7,0.02
arc-1,22.57,0.1,63.73,0.03,65.77,0.01,0,0,32.27,0.04,20.68,0.04,14.26,0.14,21.09,0.04,16,0.08,19.97,0,35.76,0,33.54,0.07,66.3,0.01
camel-1.0,15.07,0.03,61.91,0.03,66.57,0.02,0,0,0.48,0.03,0,0,6.11,0.08,0,0,10.47,0.06,0,0,13.68,0,34.45,0.08,69.27,0.02
ivy-1.4,39.35,0.02,46.04,0.1,67.9,0,0,0,18.44,0.11,12.44,0.03,4.36,0.09,12.09,0.02,12.35,0.05,31.44,0,14.4,0.08,16.85,0.06,64.1,0.02
jedit-3.2,32.13,0.02,54.14,0.05,61.58,0.01,0,0,25.75,0.03,20,0.02,14.22,0.09,20.18,0.02,13.54,0.02,6.44,0,25,0.04,40.06,0.05,62.93,0.03
log4j-1.0,22.63,0.08,62.38,0.04,72.7,0.01,0,0,8.01,0.04,4.37,0.03,5.45,0.04,5.7,0.01,6.04,0.03,16.22,0,24.11,0.01,14.66,0.06,69.41,0.04
lucene-2.0,10.77,0.03,65.84,0.02,67.37,0.01,0,0,10.94,0.01,11.92,0.01,10.89,0.03,11.92,0.01,5.4,0.02,4.3,0,23.26,0.07,9.61,0.02,63.78,0.03
poi-2.0,32.33,0.02,55.02,0.07,59.39,0.02,0,0,30.66,0.02,31.32,0.02,16.2,0.13,31.57,0.01,27.38,0.02,45.03,0,9.27,0.06,38.67,0.05,44.25,0.02
redaktor-1,17.47,0.09,45.42,0.04,48.97,0.01,0,0,0,0,0,0,6.38,0.11,0,0,0,0,13.72,0,41.39,0.04,3.04,0.05,46.2,0.03
synapse-1.0,24.87,0.13,55.2,0.06,72.21,0.01,0,0,38.31,0.07,22.15,0.03,2.95,0.07,22.49,0.02,29.6,0.08,70.83,0,19.9,0,31.75,0.11,44.63,0.03
tomcat-6.0.389418,17.06,0.02,60.77,0.08,73.1,0,0,0,40.77,0.09,29.63,0.04,5,0.07,24.01,0.04,15.79,0.03,5.06,0,30.56,0.06,50.12,0.06,66.57,0.01
velocity-1.6,12.56,0.01,62.19,0.04,64.56,0.01,0,0,7.23,0.02,5.32,0.01,4.46,0.03,5.32,0.01,6.99,0.02,9.74,0,2.86,0.01,9.35,0.02,64.24,0.02
xalan-2.4,54.79,0.02,61.65,0.02,69.47,0.01,0,0,54.38,0.01,53.86,0.01,26.53,0.13,53.58,0.01,44.6,0.03,33.91,0,11.6,0.02,51.05,0.04,49.65,0.05
xerces-init,9.02,0.03,40.38,0.04,45.91,0.01,0,0,14.04,0.02,13.16,0.01,10.99,0.05,13.16,0.01,9.61,0.02,28.58,0,3.4,0.05,19.33,0.02,46.77,0.02
ant-1.7,34.26,0.02,70.97,0.02,73.59,0,0,0,50.07,0.02,24.51,0.01,15.49,0.13,22.5,0.02,23.44,0.01,26.99,0,16.3,0.03,31.68,0.04,59.46,0.03
arc-1,28.33,0.05,59.32,0.04,62.95,0,0,0,35.52,0.02,20.53,0.02,13.16,0.15,19.95,0.02,24.54,0.03,19.97,0,35.47,0,28.18,0.04,64.18,0.02
camel-1.6,12.51,0.01,44.71,0.06,57.72,0,0,0,16.89,0.01,7.24,0,5.18,0.05,7.66,0.01,6.64,0.01,14.74,0,23.87,0.02,22.72,0.02,57.46,0.01
ivy-2.0,45.31,0.02,73.89,0.02,72.93,0,0,0,58.78,0.02,45.64,0.03,14.34,0.15,46.17,0.03,46.69,0.02,53.8,0,43.34,0.01,45.94,0.04,67.54,0.02
