,BF_LR_mean,BF_LR_std,BNaive_LR_mean,BNaive_LR_std,BTCAplus_LR_mean,BTCAplus_LR_std,BTNB_LR_mean,BTNB_LR_std,CFPS_LR_mean,CFPS_LR_std,DFAC_LR_mean,DFAC_LR_std,DMDA_JFR_LR_mean,DMDA_JFR_LR_std,EASC_LR_mean,EASC_LR_std,HISNN_LR_mean,HISNN_LR_std,HSBF_LR_mean,HSBF_LR_std,TCAplus_LR_mean,TCAplus_LR_std,TNB_LR_mean,TNB_LR_std,WiFLF_LR_mean,WiFLF_LR_std
ant-1.3,27.02,0.06,61.56,0.03,58.57,0.01,0,0,32.61,0.04,18.71,0.03,17.4,0.08,19.76,0.03,19.5,0.03,0,0,6.35,0.04,15.78,0.06,55.97,0.02
arc-1,15.14,0.07,43.3,0.03,44.87,0.01,0,0,22.18,0.03,13.88,0.03,9.2,0.09,14.16,0.03,10.69,0.06,13.16,0,17.43,0,22.89,0.05,46.61,0.02
camel-1.0,8.3,0.02,22.88,0.02,25.37,0.02,0,0,0.29,0.02,0,0,3.56,0.05,0,0,6.41,0.04,0,0,2.85,0,19.66,0.05,28.94,0.02
ivy-1.4,25.38,0.01,20.19,0.06,36.9,0,0,0,11.5,0.07,7.56,0.02,2.68,0.06,7.33,0.01,7.58,0.03,20.55,0,9.38,0.06,10.08,0.04,33.82,0.02
jedit-3.2,22.41,0.02,43.49,0.06,51.3,0.02,0,0,17.54,0.02,13.32,0.02,9.48,0.06,13.44,0.02,8.78,0.01,4.04,0,71.64,0.07,29.27,0.05,68.73,0.05
log4j-1.0,15.5,0.06,50.31,0.04,64.81,0.01,0,0,5.2,0.03,2.8,0.02,3.52,0.03,3.65,0.01,3.88,0.02,10.79,0,15.74,0.01,9.72,0.04,69.34,0.03
lucene-2.0,7.03,0.02,62.76,0.03,60.63,0.01,0,0,7.13,0.01,7.8,0.01,7.12,0.02,7.8,0.01,3.45,0.01,2.72,0,18.19,0.06,6.23,0.01,69.05,0.04
poi-2.0,20.94,0.01,36.16,0.06,38.31,0.02,0,0,20.84,0.02,21.47,0.01,9.73,0.08,21.66,0.01,18.38,0.02,30.73,0,6.07,0.04,26.34,0.03,38.01,0.01
redaktor-1,11.29,0.06,45.46,0.06,31.34,0.01,0,0,0,0,0,0,4.1,0.07,0,0,0,0,8.26,0,24.83,0.04,1.96,0.03,41.75,0.07
synapse-1.0,16.46,0.1,42.54,0.03,52.9,0,0,0,26.21,0.06,14.66,0.02,1.87,0.05,14.81,0.01,20.19,0.06,48.67,0,7.25,0,21.49,0.08,40.58,0.01
tomcat-6.0.389418,11.14,0.02,37.63,0.06,48.96,0,0,0,28.8,0.07,20.28,0.03,3.17,0.05,16.15,0.03,10.05,0.02,3.17,0,20.27,0.05,35.19,0.05,44.31,0.01
velocity-1.6,8.23,0.01,54.09,0.06,56.82,0.01,0,0,4.64,0.01,3.38,0.01,2.85,0.02,3.38,0.01,4.48,0.01,6.25,0,1.81,0.01,6.05,0.01,59.39,0.03
xalan-2.4,39.5,0.02,46.3,0.03,53.88,0.01,0,0,38.65,0.01,38.48,0.01,16.59,0.09,38.45,0.01,31.07,0.02,21.86,0,7.38,0.01,36.46,0.03,53.51,0.01
