,BF_NB_mean,BF_NB_std,BNaive_NB_mean,BNaive_NB_std,BTCAplus_NB_mean,BTCAplus_NB_std,BTNB_NB_mean,BTNB_NB_std,CFPS_NB_mean,CFPS_NB_std,DFAC_NB_mean,DFAC_NB_std,DMDA_JFR_NB_mean,DMDA_JFR_NB_std,EASC_NB_mean,EASC_NB_std,HISNN_NB_mean,HISNN_NB_std,HSBF_NB_mean,HSBF_NB_std,TCAplus_NB_mean,TCAplus_NB_std,TNB_NB_mean,TNB_NB_std,WiFLF_NB_mean,WiFLF_NB_std
ant-1.3,0,0,80.67,0.01,73.84,0,0,0,33.78,0.03,32.44,0.02,63.14,0.05,33.12,0,31.47,0.03,56.87,0,11.75,0.13,23.64,0.08,74.59,0.02
arc-1,18.06,0.04,63.48,0.01,59.82,0.01,0,0,33.35,0.03,31,0,35.14,0.06,31.33,0.01,28.92,0.03,36.07,0,17.51,0.11,33.54,0.07,64.22,0.01
camel-1.0,36.83,0,66.64,0.06,63.84,0,0,0,44.7,0.05,46.34,0.04,51.41,0.1,47.24,0.03,39.59,0.08,37.21,0,0,0,34.45,0.08,69.01,0.04
ivy-1.4,21.75,0,64.24,0.03,68.68,0.01,0,0,48.42,0.08,39.94,0.08,54.7,0.06,42.19,0.08,36.18,0.06,53.72,0,64.17,0.18,16.85,0.06,61.84,0.03
jedit-3.2,1.89,0.02,66.68,0.04,68.42,0.02,0,0,37.12,0.02,36.32,0.01,66.09,0.02,37.34,0.01,27.94,0.02,43.64,0,0,0,40.06,0.05,64.25,0.02
log4j-1.0,0.76,0.02,59.2,0.04,72.79,0.02,0,0,17.34,0.02,16.38,0.01,31.12,0.09,16.85,0.02,9.48,0.03,16.19,0,6.21,0.03,14.66,0.06,74.8,0.03
lucene-2.0,12.35,0.02,63.81,0.01,69.61,0.01,0,0,16.76,0.01,16.63,0.01,53.57,0.03,17.37,0.01,10.07,0.02,49.45,0,15.96,0.23,9.61,0.02,65.7,0.03
poi-2.0,5.25,0,58.2,0.03,50.89,0.01,0,0,35.89,0.02,35.1,0.01,48.09,0.03,35.18,0.01,31.11,0.02,52.54,0,60.35,0.04,38.67,0.05,49.91,0.01
redaktor-1,21.34,0.01,58.86,0.07,42.15,0.04,0,0,14.78,0.02,10.22,0.03,63.81,0.04,13.75,0,9.53,0.04,37.12,0,1.13,0.04,3.04,0.05,44.99,0.04
synapse-1.0,8.99,0.05,73.78,0.04,69.16,0.02,0,0,52.07,0.08,49.27,0.05,65.69,0.05,50.52,0.06,46.34,0.07,64.31,0,4.22,0.07,31.75,0.11,55.81,0.03
