,BF_NB_mean,BF_NB_std,BNaive_NB_mean,BNaive_NB_std,BTCAplus_NB_mean,BTCAplus_NB_std,BTNB_NB_mean,BTNB_NB_std,CFPS_NB_mean,CFPS_NB_std,DFAC_NB_mean,DFAC_NB_std,DMDA_JFR_NB_mean,DMDA_JFR_NB_std,EASC_NB_mean,EASC_NB_std,HISNN_NB_mean,HISNN_NB_std,HSBF_NB_mean,HSBF_NB_std,TCAplus_NB_mean,TCAplus_NB_std,TNB_NB_mean,TNB_NB_std,WiFLF_NB_mean,WiFLF_NB_std
ant-1.3,0,0,63.2,0.02,54.84,0,0,0,22.84,0.02,21.87,0.02,40.94,0.05,22.18,0,21.07,0.02,35.43,0,7.94,0.1,15.78,0.06,56.62,0.02
arc-1,8.43,0.02,43,0.01,38.41,0.01,0,0,22.14,0.02,20.31,0,22.34,0.05,20.54,0.01,19.18,0.02,24.39,0,11.58,0.07,22.89,0.05,43.43,0.01
camel-1.0,17.9,0,28.95,0.03,23.21,0,0,0,28.53,0.04,30.61,0.03,19.88,0.05,30.82,0.02,25.9,0.06,22.06,0,0,0,19.66,0.05,27.43,0.03
ivy-1.4,9.97,0.01,34.7,0.03,37.75,0.02,0,0,30.34,0.07,24.01,0.06,28.34,0.05,25.57,0.06,23.17,0.05,36.59,0,37.09,0.04,10.08,0.04,31.35,0.02
jedit-3.2,1.11,0.01,58.04,0.06,59.23,0.03,0,0,26.48,0.02,25.78,0.01,63.59,0.02,26.63,0.01,19.18,0.01,32.04,0,71.2,0,29.27,0.05,63.9,0.06
log4j-1.0,0.44,0.01,47.11,0.04,65.5,0.02,0,0,11.61,0.02,10.91,0.01,21.61,0.07,11.26,0.02,6.16,0.02,10.64,0,3.97,0.02,9.72,0.04,66.23,0.04
lucene-2.0,7.72,0.01,57.85,0.02,65.13,0.01,0,0,11.16,0.01,11.06,0.01,44.56,0.03,11.58,0.01,6.54,0.01,39.91,0,13.34,0.22,6.23,0.01,65.88,0.05
poi-2.0,2.93,0,38.19,0.02,33.03,0.01,0,0,22.96,0.01,22.41,0.01,27.31,0.02,22.34,0.01,20.16,0.01,34.83,0,39.42,0.04,26.34,0.03,39.73,0.01
redaktor-1,50.71,0,43.2,0.08,25.05,0.04,0,0,9.28,0.02,6.31,0.02,48.38,0.05,8.54,0,5.96,0.03,20.94,0,0.65,0.02,1.96,0.03,44.92,0.08
synapse-1.0,5.35,0.03,52.92,0.05,50.63,0.01,0,0,37.13,0.07,34.62,0.05,44.21,0.06,35.75,0.06,33.03,0.06,49.67,0,2.67,0.04,21.49,0.08,43.56,0.01
tomcat-6.0.389418,39.13,0.01,47.78,0.01,50.24,0.01,0,0,41.21,0.02,39.75,0.01,44.82,0.06,40.69,0.01,43.07,0.01,42.45,0,49.14,0.02,35.19,0.05,45.45,0.01
velocity-1.6,6.62,0.01,42.38,0.04,46.44,0.02,0,0,13.14,0.02,14.02,0.01,20.58,0.03,14.48,0.01,11.47,0.01,18.35,0,53.48,0.02,6.05,0.01,53.46,0.02
xalan-2.4,2.94,0,53.73,0.01,53.99,0.01,0,0,45.4,0.01,45.67,0.01,43.48,0.01,45.79,0,35.09,0.01,30.83,0,52.2,0.02,36.46,0.03,53.14,0.01
xerces-init,22.58,0.01,37.8,0.01,37.07,0,0,0,23.97,0,24.62,0.01,25.09,0.02,24.9,0.01,16.84,0.01,22.32,0,39.32,0.08,13.01,0.02,41.71,0.02
ant-1.7,0,0,62.25,0.01,64.31,0.01,0,0,40.96,0.02,32.95,0.01,64.75,0.01,34.22,0.01,24.58,0.02,37.78,0,64.87,0.01,22.17,0.03,66.71,0.01
arc-1,3.67,0.03,42.68,0.02,38.01,0.01,0,0,27.17,0.02,22.14,0.02,21.16,0.06,21.74,0.02,19.73,0.02,24.39,0,0.3,0.01,18.83,0.03,42.51,0.01
camel-1.6,6.86,0.01,31.12,0.01,42.29,0,0,0,15.71,0.01,13.42,0,26.95,0.02,13.39,0.01,8.67,0.01,21.37,0,44.59,0.02,14.98,0.02,40.81,0.03
ivy-2.0,6.21,0,54.2,0.03,53.22,0.01,0,0,42.29,0,43.82,0,40.51,0.03,43.64,0,37.98,0.01,41.98,0,51.54,0.02,32.99,0.03,53.3,0.01
jedit-4.3,20.86,0.01,15.65,0.01,12.44,0,0,0,16.67,0,17.69,0,6.68,0.01,17.28,0,15.85,0.01,16.39,0,10.26,0,23.69,0.01,10.29,0
log4j-1.1,2.7,0.01,57.73,0.04,69.81,0.01,0,0,10.18,0.02,6.18,0.02,17.64,0.03,5.74,0.02,3.88,0.02,31.06,0,3.36,0,14.73,0.04,69.62,0.02
lucene-2.0,3.15,0.01,58.7,0.04,66.49,0.01,0,0,11.25,0.01,10.98,0.01,39.03,0.03,11.07,0.01,9.6,0.01,13.33,0,5.02,0.17,6.59,0.01,70.86,0.02
poi-2.0,3,0,37.78,0.04,31.08,0.02,0,0,26.68,0.01,23.75,0.01,25.95,0.03,23.62,0.01,20.28,0.02,46.05,0,35.52,0.05,21.57,0.01,39.76,0.01
redaktor-1,0,0,39.9,0.08,33.81,0.03,0,0,12.67,0.01,13.3,0.03,40.64,0.05,15.78,0.02,7.09,0.02,8.4,0,0,0,0,0,49.45,0.03
synapse-1.2,0.85,0.01,52.37,0.04,65.68,0.01,0,0,39.26,0.01,31.25,0.02,47.65,0.03,32.81,0.02,20.19,0.01,57.29,0,2.89,0,11.09,0.01,70.24,0.02
tomcat-6.0.389418,0,0,47.39,0.01,49.87,0.01,0,0,48.36,0.01,43.48,0.01,36.19,0.03,43.37,0.01,43.29,0.02,51.65,0,48.95,0.01,32.05,0.03,45.39,0.01
velocity-1.6,1.42,0,42.54,0.04,51.99,0.02,0,0,14.79,0.01,15.62,0.01,14.95,0.02,15.84,0.01,15.66,0.01,47.93,0,54.72,0.02,5.8,0.01,55.08,0.02
xalan-2.6,2.44,0,50.6,0.01,46.64,0,0,0,36.39,0.04,34.74,0.07,58.21,0.01,38.91,0.06,25,0.02,48.78,0,50.27,0.03,20.27,0.02,72.07,0.01
xerces-1.3,6.67,0,41.77,0.03,50.2,0.03,0,0,32.09,0.02,28.76,0.01,30.18,0.03,28.89,0.02,26,0.01,33.13,0,54.29,0.06,24.52,0.01,55.2,0.03
EQ,32.96,0.09,45.36,0.01,50.18,0.02,0,0,31.38,0,31.92,0.01,50.65,0.02,33.8,0,21.08,0.01,44.52,0,6.05,0.03,28.41,0.02,73.53,0.01
