,BF_RF_mean,BF_RF_std,BNaive_RF_mean,BNaive_RF_std,BTCAplus_RF_mean,BTCAplus_RF_std,BTNB_RF_mean,BTNB_RF_std,CFPS_RF_mean,CFPS_RF_std,DFAC_RF_mean,DFAC_RF_std,DMDA_JFR_RF_mean,DMDA_JFR_RF_std,EASC_RF_mean,EASC_RF_std,HISNN_RF_mean,HISNN_RF_std,HSBF_RF_mean,HSBF_RF_std,TCAplus_RF_mean,TCAplus_RF_std,TNB_RF_mean,TNB_RF_std,WiFLF_RF_mean,WiFLF_RF_std
ant-1.3,33.27,0.07,79.58,0.02,74.52,0.04,0,0,54.1,0.1,29.99,0.08,12.32,0.1,28.2,0.09,22.54,0.08,27.04,0.07,51.23,0.07,23.64,0.08,79.06,0.01
arc-1,12.47,0.09,65.66,0.03,59.18,0.03,0,0,26.64,0.11,6.3,0.08,13.2,0.07,5.47,0.07,5.95,0.1,19.36,0.06,52.82,0.05,33.54,0.07,63.11,0.02
camel-1.0,17.34,0.08,66.57,0.06,57.95,0.06,0,0,30.21,0.09,11.57,0.09,6.62,0.11,12.75,0.11,17.37,0.08,1.43,0.04,41.34,0.09,34.45,0.08,61.77,0.06
ivy-1.4,38.13,0.08,65.78,0.03,65.74,0.04,0,0,38.14,0.11,34.13,0.07,16.17,0.16,33.16,0.08,30.32,0.06,45.29,0.05,41.49,0.1,16.85,0.06,68.95,0.02
jedit-3.2,34.79,0.05,69.85,0.02,43.26,0.05,0,0,35.17,0.04,28.93,0.03,24.3,0.08,28.17,0.04,22.38,0.03,12.33,0.03,22.4,0.07,40.06,0.05,70.36,0.02
log4j-1.0,16.99,0.06,55.89,0.08,61.23,0.03,0,0,26.19,0.05,19.27,0.06,8.57,0.08,20.05,0.06,8.51,0.05,21.62,0.06,55.62,0.07,14.66,0.06,71.38,0.04
lucene-2.0,4.46,0.03,65.74,0.03,34.28,0.03,0,0,10.28,0.04,4,0.02,9.64,0.1,3.7,0.03,2.95,0.01,3.85,0.03,52.17,0.2,9.61,0.02,62.32,0.02
poi-2.0,20.91,0.05,57.49,0.04,46.38,0.03,0,0,27.04,0.05,22.2,0.05,15.77,0.09,21.64,0.05,18.06,0.04,53.6,0.04,27.93,0.06,38.67,0.05,58.83,0.03
redaktor-1,11.39,0.11,44.48,0.03,19.83,0.04,0,0,9.5,0.07,3.56,0.04,9.68,0.09,5.16,0.05,4.92,0.05,3.1,0.04,41.31,0.04,3.04,0.05,46.9,0.02
synapse-1.0,61.11,0.07,67.01,0.04,67.33,0.04,0,0,60.22,0.08,34.05,0.08,16.83,0.17,30.01,0.13,38.8,0.1,4.97,0.08,59.73,0.06,31.75,0.11,64.85,0.04
tomcat-6.0.389418,15.21,0.04,73.29,0.02,56.53,0.07,0,0,27.36,0.07,17.05,0.04,16.91,0.07,15.88,0.04,15.95,0.05,53.73,0.08,50.7,0.05,50.12,0.06,70.9,0.02
velocity-1.6,8.4,0.02,59.06,0.03,41.74,0.04,0,0,11.4,0.02,9.1,0.03,7.91,0.09,9.26,0.02,8.87,0.03,10.63,0.02,14.28,0.03,9.35,0.02,62.64,0.02
xalan-2.4,51.24,0.03,70.68,0.01,59.11,0.02,0,0,54.55,0.03,52.42,0.03,29.12,0.13,51.6,0.03,42.82,0.03,4.75,0.03,34.57,0.03,51.05,0.04,68.36,0.02
