,BF_RF_mean,BF_RF_std,BNaive_RF_mean,BNaive_RF_std,BTCAplus_RF_mean,BTCAplus_RF_std,BTNB_RF_mean,BTNB_RF_std,CFPS_RF_mean,CFPS_RF_std,DFAC_RF_mean,DFAC_RF_std,DMDA_JFR_RF_mean,DMDA_JFR_RF_std,EASC_RF_mean,EASC_RF_std,HISNN_RF_mean,HISNN_RF_std,HSBF_RF_mean,HSBF_RF_std,TCAplus_RF_mean,TCAplus_RF_std,TNB_RF_mean,TNB_RF_std,WiFLF_RF_mean,WiFLF_RF_std
ant-1.3,22.28,0.05,61.29,0.03,54.85,0.04,0,0,39.44,0.09,20.48,0.07,7.32,0.06,18.98,0.07,14.83,0.06,18.7,0.05,30.55,0.06,15.78,0.06,61.15,0.02
arc-1,8.21,0.06,45.21,0.03,41.14,0.03,0,0,17.98,0.08,4.1,0.06,7.97,0.05,3.54,0.05,3.94,0.06,12.64,0.04,35.22,0.04,22.89,0.05,42.66,0.02
camel-1.0,10.02,0.05,27.68,0.04,24.64,0.04,0,0,18.92,0.06,7.05,0.06,2.98,0.05,7.85,0.07,10.45,0.05,0.94,0.03,14.77,0.02,19.66,0.05,23.7,0.04
ivy-1.4,23.45,0.06,34.89,0.03,38.7,0.03,0,0,23.51,0.08,21.31,0.05,9.48,0.1,20.59,0.06,19.84,0.05,30.66,0.04,26.69,0.04,10.08,0.04,38.1,0.02
jedit-3.2,24.66,0.04,62.47,0.02,31.78,0.05,0,0,24.95,0.04,19.96,0.03,16.45,0.06,19.37,0.03,15.06,0.02,8.07,0.02,65.93,0.1,29.27,0.05,66.24,0.02
log4j-1.0,11.38,0.04,43.68,0.07,48.73,0.03,0,0,18.06,0.04,12.98,0.04,5.61,0.06,13.55,0.04,5.51,0.03,14.72,0.04,52.97,0.07,9.72,0.04,61,0.05
lucene-2.0,2.85,0.02,58.57,0.04,24.52,0.03,0,0,6.7,0.02,2.54,0.01,6.51,0.07,2.36,0.02,1.87,0.01,2.45,0.02,57.07,0.23,6.23,0.01,53.81,0.03
poi-2.0,13.73,0.04,38.07,0.02,31.39,0.03,0,0,17.38,0.03,14.65,0.04,8.94,0.05,14.22,0.03,11.78,0.03,36.2,0.03,18.69,0.05,26.34,0.03,39.56,0.03
redaktor-1,6.71,0.07,29.73,0.03,11.18,0.03,0,0,5.42,0.04,2.14,0.02,6.02,0.06,3.11,0.03,3.02,0.03,1.99,0.02,28.9,0.06,1.96,0.03,32.91,0.02
synapse-1.0,44,0.06,48.18,0.02,45.66,0.04,0,0,42.07,0.07,22.65,0.06,10.48,0.11,20.11,0.1,26.92,0.08,3.25,0.05,39.65,0.06,21.49,0.08,49.24,0.02
