clfindex,alpha,numtree,subsamplesize,G-Measure,PD,PF,skewed_F
2,0.1,10,16,59.12%,53.07%,19.94%,41.93%
2,0.1,20,16,59.84%,53.63%,19.59%,42.62%
2,0.1,30,16,59.20%,53.34%,20.16%,42.08%
2,0.1,40,16,59.74%,53.73%,19.87%,42.48%
2,0.1,50,16,59.07%,53.15%,20.00%,41.98%
2,0.1,60,16,59.27%,53.25%,19.83%,42.12%
2,0.1,70,16,59.50%,53.62%,19.96%,42.44%
2,0.1,80,16,58.84%,52.63%,19.55%,41.71%
2,0.1,90,16,59.52%,53.28%,19.57%,42.34%
2,0.1,100,16,59.54%,53.58%,19.89%,42.35%
2,0.1,110,16,59.10%,53.06%,19.72%,42.00%
2,0.1,120,16,59.20%,53.09%,19.74%,42.07%
2,0.1,10,32,58.41%,52.79%,19.94%,41.41%
2,0.1,20,32,58.63%,52.47%,19.50%,41.48%
2,0.1,30,32,58.79%,52.75%,19.47%,41.71%
2,0.1,40,32,58.28%,52.30%,19.84%,41.22%
2,0.1,50,32,59.19%,53.12%,19.32%,42.09%
2,0.1,60,32,58.77%,52.81%,19.45%,41.75%
2,0.1,70,32,58.09%,51.97%,19.48%,41.05%
2,0.1,80,32,58.27%,52.44%,19.82%,41.24%
2,0.1,90,32,58.95%,52.73%,19.63%,41.85%
2,0.1,100,32,58.98%,53.02%,19.61%,41.86%
2,0.1,110,32,58.77%,52.75%,19.42%,41.75%
2,0.1,120,32,58.76%,52.95%,19.75%,41.71%
2,0.1,10,64,58.12%,51.82%,19.30%,41.08%
2,0.1,20,64,58.35%,52.19%,19.69%,41.36%
2,0.1,30,64,58.16%,52.12%,19.51%,41.05%
2,0.1,40,64,57.87%,51.79%,19.34%,40.91%
2,0.1,50,64,58.61%,52.42%,19.16%,41.55%
2,0.1,60,64,58.68%,52.28%,19.47%,41.53%
2,0.1,70,64,58.06%,51.80%,19.35%,41.00%
2,0.1,80,64,58.23%,51.85%,19.31%,41.19%
2,0.1,90,64,58.45%,52.44%,19.40%,41.42%
2,0.1,100,64,58.22%,51.93%,19.21%,41.15%
2,0.1,110,64,58.33%,52.42%,19.59%,41.31%
2,0.1,120,64,58.04%,51.45%,18.95%,40.97%
2,0.1,10,128,58.37%,51.85%,19.45%,41.22%
2,0.1,20,128,57.43%,51.16%,19.36%,40.51%
2,0.1,30,128,57.50%,51.19%,19.18%,40.62%
2,0.1,40,128,57.59%,51.59%,19.57%,40.73%
2,0.1,50,128,57.57%,51.30%,19.01%,40.72%
2,0.1,60,128,57.89%,51.49%,19.11%,40.95%
2,0.1,70,128,56.94%,50.98%,19.54%,40.04%
2,0.1,80,128,57.78%,51.44%,19.51%,40.72%
2,0.1,90,128,57.57%,51.72%,19.69%,40.85%
2,0.1,100,128,58.02%,51.67%,19.05%,41.07%
2,0.1,110,128,57.91%,51.90%,19.39%,41.02%
2,0.1,120,128,57.84%,51.33%,19.12%,40.78%
2,0.1,10,256,56.47%,49.64%,18.67%,39.71%
2,0.1,20,256,57.50%,51.02%,19.04%,40.54%
2,0.1,30,256,57.40%,51.01%,19.12%,40.45%
2,0.1,40,256,57.16%,50.61%,18.89%,40.31%
2,0.1,50,256,56.84%,50.39%,18.83%,40.05%
2,0.1,60,256,57.08%,50.45%,19.00%,40.20%
2,0.1,70,256,57.30%,51.18%,19.36%,40.49%
2,0.1,80,256,56.84%,50.33%,18.90%,39.94%
2,0.1,90,256,57.38%,50.70%,19.05%,40.51%
2,0.1,100,256,56.46%,49.67%,19.06%,39.61%
2,0.1,110,256,55.99%,49.07%,18.81%,39.25%
