,AUC,Balance,MCC,G-Measure,G-Mean,PD,PF,skewed_F,F1,Accuracy,Error,Precision,TNR,FNR,TP,TN,FP,FN,train_len_before,train_len_after,test_len,runtime,clfindex,clfname,testfile,trainfile,runtimes
0,0.3634730538922155,0.39882502219501115,0.23155301671554862,0.26024861147844486,0.38380384211411545,0.15,0.017964071856287425,0.1744186046511628,0.23076923076923075,0.893048128342246,0.10695187165775401,0.5,0.9820359281437125,0.85,3,164,3,17,516,516,187,0.06177878379821777,0,NB,ant-1.3.csv,More1,1
1,0.6488023952095808,0.5047355742163516,0.3792023800140085,0.45893946503988736,0.5411232495998347,0.3,0.023952095808383235,0.3333333333333333,0.4,0.9037433155080213,0.0962566844919786,0.6,0.9760479041916168,0.7,6,163,4,14,516,516,187,0.10466551780700684,0,NB,ant-1.3.csv,More1,2
0,0.6948470209339774,0.5686243101692827,0.22059338052561558,0.5518707482993197,0.5902227169545683,0.4074074074074074,0.14492753623188406,0.3691275167785235,0.3235294117647059,0.8034188034188035,0.19658119658119658,0.2682926829268293,0.855072463768116,0.5925925925925926,11,177,30,16,474,474,234,0.05671977996826172,0,NB,arc-1.csv,More1,1
1,0.691358024691358,0.5669504331343869,0.20855672366002165,0.549842902027992,0.586878651985247,0.4074074074074074,0.15458937198067632,0.3642384105960264,0.3142857142857143,0.7948717948717948,0.20512820512820512,0.2558139534883721,0.8454106280193237,0.5925925925925926,11,175,32,16,474,474,234,0.10268664360046387,0,NB,arc-1.csv,More1,2
0,0.7055214723926381,0.598319053125232,0.13685775723779864,0.5903814262023217,0.6148239541307021,0.46153846153846156,0.18098159509202455,0.25641025641025644,0.15384615384615385,0.8053097345132744,0.19469026548672566,0.09230769230769231,0.8190184049079755,0.5384615384615384,6,267,59,7,379,379,339,0.060835838317871094,0,NB,camel-1.0.csv,More1,1
1,0.7050495516753187,0.6427488088937086,0.15477746905555131,0.6418835192069392,0.6540612587901212,0.5384615384615384,0.20552147239263804,0.27777777777777785,0.16091954022988506,0.7846607669616519,0.2153392330383481,0.0945945945945946,0.7944785276073619,0.46153846153846156,7,259,67,6,379,379,339,0.11170053482055664,0,NB,camel-1.0.csv,More1,2
0,0.7592474489795918,0.7274688053994478,0.48077390556184907,0.7303370786516853,0.7341001711105166,0.6632653061224489,0.1875,0.6842105263157894,0.718232044198895,0.7371134020618557,0.26288659793814434,0.7831325301204819,0.8125,0.336734693877551,65,78,18,33,410,410,194,0.0588831901550293,0,NB,Apache.csv,More1,1
1,0.7535076530612245,0.7280496033564398,0.46691288142465104,0.7292120156726165,0.7308350689171831,0.6836734693877551,0.21875,0.6979166666666666,0.7204301075268817,0.7319587628865979,0.26804123711340205,0.7613636363636364,0.78125,0.3163265306122449,67,75,21,31,410,410,194,0.09976863861083984,0,NB,Apache.csv,More1,2
0,0.7553475935828877,0.6367914989638686,0.42167482785855936,0.6382978723404256,0.6642111641550714,0.5,0.11764705882352941,0.5339805825242718,0.5945945945945945,0.7321428571428571,0.26785714285714285,0.7333333333333333,0.8823529411764706,0.5,11,30,4,11,533,533,56,0.04120230674743652,0,NB,Safe.csv,More1,1
1,0.7553475935828877,0.6367914989638686,0.42167482785855936,0.6382978723404256,0.6642111641550714,0.5,0.11764705882352941,0.5339805825242718,0.5945945945945945,0.7321428571428571,0.26785714285714285,0.7333333333333333,0.8823529411764706,0.5,11,30,4,11,533,533,56,0.07714271545410156,0,NB,Safe.csv,More1,2
0,0.6311599010796791,0.47341390654138416,0.13802797968169958,0.41083180494120186,0.4792579260900417,0.2711864406779661,0.15302491103202848,0.29250457038391225,0.3316062176165803,0.6766917293233082,0.3233082706766917,0.4266666666666667,0.8469750889679716,0.7288135593220338,32,238,43,86,225,225,399,0.06490588188171387,0,NB,Zxing.csv,More1,1
1,0.6391368598829845,0.4728910751077181,0.13319299225743955,0.4104118188213648,0.4782500218701331,0.2711864406779661,0.15658362989323843,0.29197080291970806,0.32989690721649484,0.6741854636591479,0.3258145363408521,0.42105263157894735,0.8434163701067615,0.7288135593220338,32,237,44,86,225,225,399,0.11365795135498047,0,NB,Zxing.csv,More1,2
