,AUC,Balance,MCC,G-Measure,G-Mean,PD,PF,skewed_F,F1,Accuracy,Error,Precision,TNR,FNR,TP,TN,FP,FN,train_len_before,train_len_after,test_len,runtime,clfindex,clfname,testfile,trainfile,runtimes
0,0.6832335329341317,0.571008335196681,0.2918775418092793,0.5557586837294333,0.6033836725396414,0.4,0.08982035928143713,0.3883495145631068,0.37209302325581395,0.8556149732620321,0.1443850267379679,0.34782608695652173,0.9101796407185628,0.6,8,152,15,12,516,516,187,0.06174278259277344,0,NB,ant-1.3.csv,More1,1
1,0.6908682634730539,0.5716147408892487,0.3032755313311505,0.5568698817106461,0.6053652334485881,0.4,0.08383233532934131,0.39215686274509814,0.380952380952381,0.8609625668449198,0.13903743315508021,0.36363636363636365,0.9161676646706587,0.6,8,153,14,12,516,516,187,0.09864425659179688,0,NB,ant-1.3.csv,More1,2
0,0.6969046341027018,0.5254376158360266,0.26480698192121954,0.4897435897435897,0.5545885303567146,0.3333333333333333,0.07729468599033816,0.33834586466165406,0.34615384615384615,0.8547008547008547,0.1452991452991453,0.36,0.9227053140096618,0.6666666666666666,9,191,16,18,474,474,234,0.04496479034423828,0,NB,arc-1.csv,More1,1
1,0.6940418679549114,0.52581889423238,0.2747104630503119,0.4904214559386973,0.5560384374855327,0.3333333333333333,0.07246376811594203,0.34090909090909094,0.35294117647058826,0.8589743589743589,0.14102564102564102,0.375,0.927536231884058,0.6666666666666666,9,192,15,18,474,474,234,0.08178091049194336,0,NB,arc-1.csv,More1,2
0,0.7023360075507314,0.5609341035999433,0.19821927867374392,0.5419612108029727,0.5939366432510449,0.38461538461538464,0.08282208588957055,0.29761904761904767,0.22222222222222224,0.8967551622418879,0.10324483775811209,0.15625,0.9171779141104295,0.6153846153846154,5,299,27,8,379,379,339,0.05185198783874512,0,NB,camel-1.0.csv,More1,1
1,0.7163756488909864,0.561218151430037,0.20310744001318554,0.54249547920434,0.5949290192868539,0.38461538461538464,0.07975460122699386,0.3012048192771084,0.22727272727272727,0.8997050147492626,0.10029498525073746,0.16129032258064516,0.9202453987730062,0.6153846153846154,5,300,26,8,379,379,339,0.08576655387878418,0,NB,camel-1.0.csv,More1,2
0,0.7477147108843538,0.6110046749861213,0.354185360091579,0.606060606060606,0.6338656910463873,0.8571428571428571,0.53125,0.7969639468690701,0.7210300429184548,0.6649484536082474,0.33505154639175255,0.6222222222222222,0.46875,0.14285714285714285,84,45,51,14,410,410,194,0.04283308982849121,0,NB,Apache.csv,More1,1
1,0.7320365646258503,0.5841693003176216,0.3284507190333602,0.5723435703728035,0.6086291331909011,0.8673469387755102,0.5729166666666666,0.7988721804511278,0.7142857142857142,0.6494845360824743,0.35051546391752575,0.6071428571428571,0.4270833333333333,0.1326530612244898,85,41,55,13,410,410,194,0.07590031623840332,0,NB,Apache.csv,More1,2
0,0.839572192513369,0.2928932188134524,,0.0,0.0,0.0,0.0,,,0.6071428571428571,0.39285714285714285,,1.0,1.0,0,34,0,22,533,533,56,0.04383659362792969,0,NB,Safe.csv,More1,1
1,0.839572192513369,0.2928932188134524,,0.0,0.0,0.0,0.0,,,0.6071428571428571,0.39285714285714285,,1.0,1.0,0,34,0,22,533,533,56,0.07874274253845215,0,NB,Safe.csv,More1,2
0,0.657126485312745,0.2928932188134524,,0.0,0.0,0.0,0.0,,,0.7042606516290727,0.2957393483709273,,1.0,1.0,0,281,0,118,225,225,399,0.05991840362548828,0,NB,Zxing.csv,More1,1
1,0.657005850775077,0.2928932188134524,,0.0,0.0,0.0,0.0,,,0.7042606516290727,0.2957393483709273,,1.0,1.0,0,281,0,118,225,225,399,0.09678030014038086,0,NB,Zxing.csv,More1,2
