,AUC,Balance,MCC,G-Measure,G-Mean,PD,PF,skewed_F,F1,Accuracy,Error,Precision,TNR,FNR,TP,TN,FP,FN,train_len_before,train_len_after,test_len,runtime,clfindex,clfname,testfile,trainfile,runtimes
0,0.5492514970059881,0.39842256046680435,0.1647101969133486,0.25960763235689327,0.3802772389232805,0.15,0.03592814371257485,0.16853932584269662,0.20689655172413793,0.8770053475935828,0.12299465240641712,0.3333333333333333,0.9640718562874252,0.85,3,161,6,17,516,516,187,2.7904748916625977,0,NB,ant-1.3.csv,More1,1
1,0.6095808383233533,0.5041386458334887,0.3136084327691368,0.45692527367920033,0.5361204619305243,0.3,0.041916167664670656,0.32258064516129037,0.3636363636363637,0.8877005347593583,0.11229946524064172,0.46153846153846156,0.9580838323353293,0.7,6,160,7,14,516,516,187,5.686394691467285,0,NB,ant-1.3.csv,More1,2
0,0.7059402397566649,0.527804033496139,0.3627205963003352,0.4950248756218905,0.5660838150559305,0.3333333333333333,0.03864734299516908,0.36,0.409090909090909,0.8888888888888888,0.1111111111111111,0.5294117647058824,0.961352657004831,0.6666666666666666,9,199,8,18,474,474,234,3.4019556045532227,0,NB,arc-1.csv,More1,1
1,0.6133476471640723,0.4496462813629456,0.27989142318762,0.3616734143049932,0.46452233357470984,0.2222222222222222,0.028985507246376812,0.25,0.30769230769230765,0.8846153846153846,0.11538461538461539,0.5,0.9710144927536232,0.7777777777777778,6,201,6,21,474,474,234,6.819756031036377,0,NB,arc-1.csv,More1,2
0,0.487966021708353,0.34676728171826066,0.04011326097215668,0.1424682395644283,0.27219763521963225,0.07692307692307693,0.03680981595092025,0.07692307692307693,0.07692307692307693,0.9292035398230089,0.07079646017699115,0.07692307692307693,0.9631901840490797,0.9230769230769231,1,314,12,12,379,379,339,3.785874366760254,0,NB,camel-1.0.csv,More1,1
1,0.4970504955167532,0.34685011259362053,0.04487517076129407,0.14250169644876726,0.27263072640078506,0.07692307692307693,0.03374233128834356,0.078125,0.08,0.9321533923303835,0.06784660766961652,0.08333333333333333,0.9662576687116564,0.9230769230769231,1,315,11,12,379,379,339,7.596750736236572,0,NB,camel-1.0.csv,More1,2
0,0.7239051870748299,0.6489391319443782,0.33498658969761724,0.648414985590778,0.6561133239597798,0.7653061224489796,0.4375,0.736738703339882,0.6976744186046512,0.6649484536082474,0.33505154639175255,0.6410256410256411,0.5625,0.23469387755102042,75,54,42,23,410,410,194,2.350088357925415,0,NB,Apache.csv,More1,1
1,0.7140731292517007,0.6139212007887626,0.31205526808606343,0.6091878589007383,0.6282229824244402,0.8061224489795918,0.5104166666666666,0.7596153846153846,0.6991150442477876,0.6494845360824743,0.35051546391752575,0.6171875,0.4895833333333333,0.19387755102040816,79,47,49,19,410,410,194,4.6365966796875,0,NB,Apache.csv,More1,2
0,0.7399732620320856,0.32471410621259733,0.04222003309207491,0.0868421052631579,0.21004201260420147,0.045454545454545456,0.029411764705882353,0.05555555555555556,0.08333333333333334,0.6071428571428571,0.39285714285714285,0.5,0.9705882352941176,0.9545454545454546,1,33,1,21,533,533,56,0.9354443550109863,0,NB,Safe.csv,More1,1
1,0.6791443850267379,0.4532036531213641,0.3124282448813543,0.36830357142857145,0.46966821831386213,0.22727272727272727,0.029411764705882353,0.26595744680851063,0.35714285714285715,0.6785714285714286,0.32142857142857145,0.8333333333333334,0.9705882352941176,0.7727272727272727,5,33,1,17,533,533,56,1.907843828201294,0,NB,Safe.csv,More1,2
0,0.5748688099402859,0.310645422196824,0.0014968557745831793,0.04955538809344386,0.15744966653124934,0.025423728813559324,0.02491103202846975,0.031120331950207473,0.04687500000000001,0.6942355889724311,0.3057644110275689,0.3,0.9750889679715302,0.9745762711864406,3,274,7,115,225,225,399,2.9959840774536133,0,NB,Zxing.csv,More1,1
1,0.5635894806683153,0.34218335145138956,-0.05173953942152636,0.14049767398295296,0.2604936226442513,0.07627118644067797,0.1103202846975089,0.087890625,0.11392405063291139,0.6491228070175439,0.3508771929824561,0.225,0.8896797153024911,0.923728813559322,9,250,31,109,225,225,399,5.995959043502808,0,NB,Zxing.csv,More1,2
