,AUC,Balance,MCC,G-Measure,G-Mean,PD,PF,skewed_F,F1,Accuracy,Error,Precision,TNR,FNR,TP,TN,FP,FN,train_len_before,train_len_after,test_len,runtime,clfindex,clfname,testfile,trainfile,runtimes
0,0.5152694610778442,0.5791219379982719,0.15849028032317625,0.5686994856722999,0.5895801815013474,0.45,0.2275449101796407,0.3543307086614173,0.26865671641791045,0.7379679144385026,0.2620320855614973,0.19148936170212766,0.7724550898203593,0.55,9,129,38,11,516,516,187,0.1905827522277832,0,NB,ant-1.3.csv,More1,1
1,0.5152694610778442,0.5791219379982719,0.15849028032317625,0.5686994856722999,0.5895801815013474,0.45,0.2275449101796407,0.3543307086614173,0.26865671641791045,0.7379679144385026,0.2620320855614973,0.19148936170212766,0.7724550898203593,0.55,9,129,38,11,516,516,187,0.3420841693878174,0,NB,ant-1.3.csv,More1,2
0,0.6700662014671677,0.5754407651462081,0.29288956415634937,0.5615615615615616,0.6066666076810976,0.4074074074074074,0.0966183574879227,0.39568345323741005,0.3793103448275862,0.8461538461538461,0.15384615384615385,0.3548387096774194,0.9033816425120773,0.5925925925925926,11,187,20,16,474,474,234,0.16354823112487793,0,NB,arc-1.csv,More1,1
1,0.6700662014671677,0.5754407651462081,0.29288956415634937,0.5615615615615616,0.6066666076810976,0.4074074074074074,0.0966183574879227,0.39568345323741005,0.3793103448275862,0.8461538461538461,0.15384615384615385,0.3548387096774194,0.9033816425120773,0.5925925925925926,11,187,20,16,474,474,234,0.3231215476989746,0,NB,arc-1.csv,More1,2
0,0.3834355828220859,0.4346907593823369,0.006033140182888251,0.3563941299790357,0.4248643011300256,0.23076923076923078,0.21779141104294478,0.11904761904761904,0.06896551724137932,0.7610619469026548,0.23893805309734514,0.04054054054054054,0.7822085889570553,0.7692307692307693,3,255,71,10,379,379,339,0.18350982666015625,0,NB,camel-1.0.csv,More1,1
1,0.3834355828220859,0.4346907593823369,0.006033140182888251,0.3563941299790357,0.4248643011300256,0.23076923076923078,0.21779141104294478,0.11904761904761904,0.06896551724137932,0.7610619469026548,0.23893805309734514,0.04054054054054054,0.7822085889570553,0.7692307692307693,3,255,71,10,379,379,339,0.3470902442932129,0,NB,camel-1.0.csv,More1,2
0,0.7408588435374149,0.6038870482784715,0.34453376596367774,0.5972850678733032,0.6267831705280087,0.8571428571428571,0.5416666666666666,0.7954545454545454,0.717948717948718,0.6597938144329897,0.3402061855670103,0.6176470588235294,0.4583333333333333,0.14285714285714285,84,44,52,14,410,410,194,0.1515951156616211,0,NB,Apache.csv,More1,1
1,0.7408588435374149,0.6038870482784715,0.34453376596367774,0.5972850678733032,0.6267831705280087,0.8571428571428571,0.5416666666666666,0.7954545454545454,0.717948717948718,0.6597938144329897,0.3402061855670103,0.6176470588235294,0.4583333333333333,0.14285714285714285,84,44,52,14,410,410,194,0.31221652030944824,0,NB,Apache.csv,More1,2
0,0.7780748663101604,0.7073322074657541,0.41164532264773035,0.7075471698113208,0.7080514800462759,0.6818181818181818,0.2647058823529412,0.6696428571428571,0.6521739130434783,0.7142857142857143,0.2857142857142857,0.625,0.7352941176470589,0.3181818181818182,15,25,9,7,533,533,56,0.18849706649780273,0,NB,Safe.csv,More1,1
1,0.7780748663101604,0.7073322074657541,0.41164532264773035,0.7075471698113208,0.7080514800462759,0.6818181818181818,0.2647058823529412,0.6696428571428571,0.6521739130434783,0.7142857142857143,0.2857142857142857,0.625,0.7352941176470589,0.3181818181818182,15,25,9,7,533,533,56,0.3809816837310791,0,NB,Safe.csv,More1,2
0,0.5881235297665721,0.42752459078957195,0.15502859981635592,0.32134605452716847,0.422217583763497,0.19491525423728814,0.08540925266903915,0.22157996146435452,0.2787878787878788,0.7017543859649122,0.2982456140350877,0.48936170212765956,0.9145907473309609,0.8050847457627118,23,257,24,95,225,225,399,0.22439885139465332,0,NB,Zxing.csv,More1,1
1,0.5881235297665721,0.42752459078957195,0.15502859981635592,0.32134605452716847,0.422217583763497,0.19491525423728814,0.08540925266903915,0.22157996146435452,0.2787878787878788,0.7017543859649122,0.2982456140350877,0.48936170212765956,0.9145907473309609,0.8050847457627118,23,257,24,95,225,225,399,0.4039175510406494,0,NB,Zxing.csv,More1,2
