,AUC,Balance,MCC,G-Measure,G-Mean,PD,PF,skewed_F,F1,Accuracy,Error,Precision,TNR,FNR,TP,TN,FP,FN,train_len_before,train_len_after,test_len,runtime,clfindex,clfname,testfile,trainfile,runtimes
0,0.6811377245508983,0.572180098164077,0.3153373012905736,0.5579710144927537,0.6073403291805195,0.4,0.07784431137724551,0.39603960396039606,0.3902439024390244,0.8663101604278075,0.13368983957219252,0.38095238095238093,0.9221556886227545,0.6,8,154,13,12,516,516,187,0.04193735122680664,0,NB,ant-1.3.csv,More1,1
1,0.6907185628742515,0.5716147408892487,0.3032755313311505,0.5568698817106461,0.6053652334485881,0.4,0.08383233532934131,0.39215686274509814,0.380952380952381,0.8609625668449198,0.13903743315508021,0.36363636363636365,0.9161676646706587,0.6,8,153,14,12,516,516,187,0.07280540466308594,0,NB,ant-1.3.csv,More1,2
0,0.696367865449991,0.5250320751594947,0.25537695922762454,0.489060489060489,0.5531348226654046,0.3333333333333333,0.0821256038647343,0.33582089552238803,0.33962264150943394,0.8504273504273504,0.14957264957264957,0.34615384615384615,0.9178743961352657,0.6666666666666666,9,190,17,18,474,474,234,0.046875953674316406,0,NB,arc-1.csv,More1,1
1,0.6933261764179638,0.5778525266656382,0.34050261230349943,0.5661439485323683,0.6147236220516663,0.4074074074074074,0.07246376811594203,0.41044776119402987,0.4150943396226415,0.8675213675213675,0.13247863247863248,0.4230769230769231,0.927536231884058,0.5925925925925926,11,192,15,16,474,474,234,0.07679533958435059,0,NB,arc-1.csv,More1,2
0,0.7037517697026899,0.5609341035999433,0.19821927867374392,0.5419612108029727,0.5939366432510449,0.38461538461538464,0.08282208588957055,0.29761904761904767,0.22222222222222224,0.8967551622418879,0.10324483775811209,0.15625,0.9171779141104295,0.6153846153846154,5,299,27,8,379,379,339,0.04188823699951172,0,NB,camel-1.0.csv,More1,1
1,0.7189712128362435,0.561218151430037,0.20310744001318554,0.54249547920434,0.5949290192868539,0.38461538461538464,0.07975460122699386,0.3012048192771084,0.22727272727272727,0.8997050147492626,0.10029498525073746,0.16129032258064516,0.9202453987730062,0.6153846153846154,5,300,26,8,379,379,339,0.06884431838989258,0,NB,camel-1.0.csv,More1,2
0,0.7451105442176871,0.6280755720692328,0.35807570479029643,0.6259541984732825,0.6468132241526726,0.8367346938775511,0.5,0.78544061302682,0.7192982456140352,0.6701030927835051,0.32989690721649484,0.6307692307692307,0.5,0.16326530612244897,82,48,48,16,410,410,194,0.04049992561340332,0,NB,Apache.csv,More1,1
1,0.7349064625850339,0.6038870482784715,0.34453376596367774,0.5972850678733032,0.6267831705280087,0.8571428571428571,0.5416666666666666,0.7954545454545454,0.717948717948718,0.6597938144329897,0.3402061855670103,0.6176470588235294,0.4583333333333333,0.14285714285714285,84,44,52,14,410,410,194,0.06842231750488281,0,NB,Apache.csv,More1,2
0,0.839572192513369,0.2928932188134524,,0.0,0.0,0.0,0.0,,,0.6071428571428571,0.39285714285714285,,1.0,1.0,0,34,0,22,533,533,56,0.036911725997924805,0,NB,Safe.csv,More1,1
1,0.839572192513369,0.2928932188134524,,0.0,0.0,0.0,0.0,,,0.6071428571428571,0.39285714285714285,,1.0,1.0,0,34,0,22,533,533,56,0.06180858612060547,0,NB,Safe.csv,More1,2
0,0.657186802581579,0.2928932188134524,,0.0,0.0,0.0,0.0,,,0.7042606516290727,0.2957393483709273,,1.0,1.0,0,281,0,118,225,225,399,0.04886794090270996,0,NB,Zxing.csv,More1,1
1,0.6570058507750769,0.2928932188134524,,0.0,0.0,0.0,0.0,,,0.7042606516290727,0.2957393483709273,,1.0,1.0,0,281,0,118,225,225,399,0.07180643081665039,0,NB,Zxing.csv,More1,2
